onset	duration	value	sample	trial_type	stim_file
7.927	0	2	7927	up-chirp	transient/upchirp_stim.wav
9.112	0	2	9112	up-chirp	transient/upchirp_stim.wav
10.366	0	2	10366	up-chirp	transient/upchirp_stim.wav
11.598	0	2	11598	up-chirp	transient/upchirp_stim.wav
12.899	0	2	12899	up-chirp	transient/upchirp_stim.wav
14.083	0	2	14083	up-chirp	transient/upchirp_stim.wav
15.338	0	2	15338	up-chirp	transient/upchirp_stim.wav
16.523	0	2	16523	up-chirp	transient/upchirp_stim.wav
17.708	0	2	17708	up-chirp	transient/upchirp_stim.wav
18.962	0	2	18962	up-chirp	transient/upchirp_stim.wav
20.217	0	2	20217	up-chirp	transient/upchirp_stim.wav
21.425	0	2	21425	up-chirp	transient/upchirp_stim.wav
22.656	0	2	22656	up-chirp	transient/upchirp_stim.wav
23.887	0	2	23887	up-chirp	transient/upchirp_stim.wav
25.165	0	2	25165	up-chirp	transient/upchirp_stim.wav
26.466	0	2	26466	up-chirp	transient/upchirp_stim.wav
27.72	0	2	27720	up-chirp	transient/upchirp_stim.wav
28.928	0	2	28928	up-chirp	transient/upchirp_stim.wav
30.183	0	2	30183	up-chirp	transient/upchirp_stim.wav
31.414	0	2	31414	up-chirp	transient/upchirp_stim.wav
32.599	0	2	32599	up-chirp	transient/upchirp_stim.wav
33.876	0	2	33876	up-chirp	transient/upchirp_stim.wav
35.061	0	2	35061	up-chirp	transient/upchirp_stim.wav
36.223	0	2	36223	up-chirp	transient/upchirp_stim.wav
37.338	0	2	37338	up-chirp	transient/upchirp_stim.wav
38.453	0	2	38453	up-chirp	transient/upchirp_stim.wav
39.638	0	2	39638	up-chirp	transient/upchirp_stim.wav
40.916	0	2	40916	up-chirp	transient/upchirp_stim.wav
42.1	0	2	42100	up-chirp	transient/upchirp_stim.wav
43.332	0	2	43332	up-chirp	transient/upchirp_stim.wav
44.633	0	2	44633	up-chirp	transient/upchirp_stim.wav
45.771	0	2	45771	up-chirp	transient/upchirp_stim.wav
47.002	0	2	47002	up-chirp	transient/upchirp_stim.wav
48.164	0	2	48164	up-chirp	transient/upchirp_stim.wav
49.395	0	2	49395	up-chirp	transient/upchirp_stim.wav
50.533	0	2	50533	up-chirp	transient/upchirp_stim.wav
51.811	0	2	51811	up-chirp	transient/upchirp_stim.wav
52.926	0	2	52926	up-chirp	transient/upchirp_stim.wav
54.111	0	2	54111	up-chirp	transient/upchirp_stim.wav
55.435	0	2	55435	up-chirp	transient/upchirp_stim.wav
56.573	0	2	56573	up-chirp	transient/upchirp_stim.wav
57.874	0	2	57874	up-chirp	transient/upchirp_stim.wav
59.013	0	2	59013	up-chirp	transient/upchirp_stim.wav
