onset	duration	value	sample	trial_type	stim_file
8.129	0	2	8129	up-chirp	transient/upchirp_stim.wav
9.384	0	2	9384	up-chirp	transient/upchirp_stim.wav
10.522	0	2	10522	up-chirp	transient/upchirp_stim.wav
11.8	0	2	11800	up-chirp	transient/upchirp_stim.wav
12.938	0	2	12938	up-chirp	transient/upchirp_stim.wav
14.146	0	2	14146	up-chirp	transient/upchirp_stim.wav
15.284	0	2	15284	up-chirp	transient/upchirp_stim.wav
16.492	0	2	16492	up-chirp	transient/upchirp_stim.wav
17.724	0	2	17724	up-chirp	transient/upchirp_stim.wav
18.932	0	2	18932	up-chirp	transient/upchirp_stim.wav
20.14	0	2	20140	up-chirp	transient/upchirp_stim.wav
21.464	0	2	21464	up-chirp	transient/upchirp_stim.wav
22.649	0	2	22649	up-chirp	transient/upchirp_stim.wav
23.833	0	2	23833	up-chirp	transient/upchirp_stim.wav
24.949	0	2	24949	up-chirp	transient/upchirp_stim.wav
26.18	0	2	26180	up-chirp	transient/upchirp_stim.wav
27.458	0	2	27458	up-chirp	transient/upchirp_stim.wav
28.735	0	2	28735	up-chirp	transient/upchirp_stim.wav
29.943	0	2	29943	up-chirp	transient/upchirp_stim.wav
31.267	0	2	31267	up-chirp	transient/upchirp_stim.wav
32.383	0	2	32383	up-chirp	transient/upchirp_stim.wav
33.614	0	2	33614	up-chirp	transient/upchirp_stim.wav
34.799	0	2	34799	up-chirp	transient/upchirp_stim.wav
35.937	0	2	35937	up-chirp	transient/upchirp_stim.wav
37.215	0	2	37215	up-chirp	transient/upchirp_stim.wav
38.492	0	2	38492	up-chirp	transient/upchirp_stim.wav
39.7	0	2	39700	up-chirp	transient/upchirp_stim.wav
40.932	0	2	40932	up-chirp	transient/upchirp_stim.wav
42.07	0	2	42070	up-chirp	transient/upchirp_stim.wav
43.185	0	2	43185	up-chirp	transient/upchirp_stim.wav
44.37	0	2	44370	up-chirp	transient/upchirp_stim.wav
45.578	0	2	45578	up-chirp	transient/upchirp_stim.wav
46.739	0	2	46739	up-chirp	transient/upchirp_stim.wav
47.878	0	2	47878	up-chirp	transient/upchirp_stim.wav
49.202	0	2	49202	up-chirp	transient/upchirp_stim.wav
50.503	0	2	50503	up-chirp	transient/upchirp_stim.wav
51.804	0	2	51804	up-chirp	transient/upchirp_stim.wav
52.965	0	2	52965	up-chirp	transient/upchirp_stim.wav
54.173	0	2	54173	up-chirp	transient/upchirp_stim.wav
55.358	0	2	55358	up-chirp	transient/upchirp_stim.wav
56.589	0	2	56589	up-chirp	transient/upchirp_stim.wav
57.821	0	2	57821	up-chirp	transient/upchirp_stim.wav
59.006	0	2	59006	up-chirp	transient/upchirp_stim.wav
60.214	0	2	60214	up-chirp	transient/upchirp_stim.wav
61.375	0	2	61375	up-chirp	transient/upchirp_stim.wav
62.513	0	2	62513	up-chirp	transient/upchirp_stim.wav
63.814	0	2	63814	up-chirp	transient/upchirp_stim.wav
65.115	0	2	65115	up-chirp	transient/upchirp_stim.wav
66.277	0	2	66277	up-chirp	transient/upchirp_stim.wav
67.438	0	2	67438	up-chirp	transient/upchirp_stim.wav
68.67	0	2	68670	up-chirp	transient/upchirp_stim.wav
69.808	0	2	69808	up-chirp	transient/upchirp_stim.wav
71.039	0	2	71039	up-chirp	transient/upchirp_stim.wav
72.317	0	2	72317	up-chirp	transient/upchirp_stim.wav
73.618	0	2	73618	up-chirp	transient/upchirp_stim.wav
74.919	0	2	74919	up-chirp	transient/upchirp_stim.wav
76.197	0	2	76197	up-chirp	transient/upchirp_stim.wav
77.312	0	2	77312	up-chirp	transient/upchirp_stim.wav
78.589	0	2	78589	up-chirp	transient/upchirp_stim.wav
79.821	0	2	79821	up-chirp	transient/upchirp_stim.wav
86.787	1	1	86787	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
87.788	1	1	87788	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
88.788	1	1	88788	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
89.789	1	1	89789	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
90.789	1	1	90789	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
91.79	1	1	91790	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
92.79	1	1	92790	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
93.791	1	1	93791	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
94.791	1	1	94791	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
95.792	1	1	95792	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
96.792	1	1	96792	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
97.793	1	1	97793	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
98.793	1	1	98793	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
99.794	1	1	99794	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
100.794	1	1	100794	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
101.795	1	1	101795	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
102.795	1	1	102795	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
103.796	1	1	103796	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
104.796	1	1	104796	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
105.797	1	1	105797	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
106.797	1	1	106797	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
107.798	1	1	107798	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
108.798	1	1	108798	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
109.798	1	1	109798	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
110.799	1	1	110799	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
111.799	1	1	111799	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
112.8	1	1	112800	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
113.8	1	1	113800	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
114.801	1	1	114801	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
115.801	1	1	115801	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
116.802	1	1	116802	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
117.802	1	1	117802	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
118.803	1	1	118803	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
119.803	1	1	119803	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
120.804	1	1	120804	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
121.804	1	1	121804	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
122.805	1	1	122805	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
123.805	1	1	123805	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
124.806	1	1	124806	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
125.806	1	1	125806	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
126.807	1	1	126807	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
127.807	1	1	127807	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
128.808	1	1	128808	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
129.808	1	1	129808	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
130.809	1	1	130809	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
131.809	1	1	131809	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
132.81	1	1	132810	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
133.81	1	1	133810	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
134.811	1	1	134811	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
135.811	1	1	135811	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
136.812	1	1	136812	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
