onset	duration	value	sample	trial_type	SNR	intelligibility	stim_file	sentence
10.542	1.938	120	10542	olsa: list: 30 / sentence: 20	-2.5	95.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
13.701	1.786	107	13701	olsa: list: 30 / sentence: 7	-2.5	95.0	olsa/sentences/26626.wav	Tanja hat zwei alte Messer.
16.558	2.002	94	16558	olsa: list: 25 / sentence: 14	-5.1	80.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
19.695	2.108	27	19695	olsa: list: 10 / sentence: 7	-8.1	40.0	olsa/sentences/08168.wav	Peter nahm neun teure Steine.
22.877	2.549	72	22877	olsa: list: 21 / sentence: 12	-6.7	60.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
26.455	2.217	109	26455	olsa: list: 30 / sentence: 9	-2.5	95.0	olsa/sentences/05413.wav	Peter verleiht vier kleine Bilder.
29.731	1.941	1	29731	olsa: list: 5 / sentence: 1	-9.7	20.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
32.797	2.081	108	32797	olsa: list: 30 / sentence: 8	-2.5	95.0	olsa/sentences/94067.wav	Nina schenkt drei teure Schuhe.
35.887	1.987	29	35887	olsa: list: 10 / sentence: 9	-8.1	40.0	olsa/sentences/36514.wav	Ulrich hat fuenf kleine Dosen.
38.977	2.196	119	38977	olsa: list: 30 / sentence: 19	-2.5	95.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
42.275	2.549	112	42275	olsa: list: 30 / sentence: 12	-2.5	95.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
45.992	2.193	48	45992	olsa: list: 14 / sentence: 8	-7.4	50.0	olsa/sentences/63558.wav	Stefan gibt fuenf gruene Steine.
49.245	2.023	68	49245	olsa: list: 21 / sentence: 8	-6.7	60.0	olsa/sentences/68271.wav	Stefan nahm sieben schoene Tassen.
52.404	2.145	95	52404	olsa: list: 25 / sentence: 15	-5.1	80.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
55.726	2.565	96	55726	olsa: list: 25 / sentence: 16	-5.1	80.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
59.397	2.097	97	59397	olsa: list: 25 / sentence: 17	-5.1	80.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
62.579	2.105	88	62579	olsa: list: 25 / sentence: 8	-5.1	80.0	olsa/sentences/92629.wav	Nina kauft zwei alte Ringe.
65.716	2.137	81	65716	olsa: list: 25 / sentence: 1	-5.1	80.0	olsa/sentences/23081.wav	Tanja gibt drei rote Tassen.
68.898	2.05	58	68898	olsa: list: 14 / sentence: 18	-7.4	50.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
72.128	1.938	40	72128	olsa: list: 10 / sentence: 20	-8.1	40.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
75.171	2.142	73	75171	olsa: list: 21 / sentence: 13	-6.7	60.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
78.4	2.411	28	78400	olsa: list: 10 / sentence: 8	-8.1	40.0	olsa/sentences/87470.wav	Doris gewann vier schoene Blumen.
81.838	2.565	76	81838	olsa: list: 21 / sentence: 16	-6.7	60.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
85.462	2.193	84	85462	olsa: list: 25 / sentence: 4	-5.1	80.0	olsa/sentences/51437.wav	Wolfgang sieht vier nasse Schuhe.
88.738	2.565	6	88738	olsa: list: 5 / sentence: 6	-9.7	20.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
92.432	1.938	60	92432	olsa: list: 14 / sentence: 20	-7.4	50.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
95.428	2.196	39	95428	olsa: list: 10 / sentence: 19	-8.1	40.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
98.727	2.031	17	98727	olsa: list: 5 / sentence: 17	-9.7	20.0	olsa/sentences/47048.wav	Britta gewann drei schwere Steine.
101.84	2.131	21	101840	olsa: list: 10 / sentence: 1	-8.1	40.0	olsa/sentences/69009.wav	Stefan malt drei grosse Ringe.
105.023	2.565	56	105023	olsa: list: 14 / sentence: 16	-7.4	50.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
108.647	1.938	100	108647	olsa: list: 25 / sentence: 20	-5.1	80.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
111.714	1.941	91	111714	olsa: list: 25 / sentence: 11	-5.1	80.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
114.71	2.145	115	114710	olsa: list: 30 / sentence: 15	-2.5	95.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
117.893	2.142	33	117893	olsa: list: 10 / sentence: 13	-8.1	40.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
121.052	2.142	53	121052	olsa: list: 14 / sentence: 13	-7.4	50.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
124.328	1.941	111	124328	olsa: list: 30 / sentence: 11	-2.5	95.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
127.348	2.196	79	127348	olsa: list: 21 / sentence: 19	-6.7	60.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
130.67	2.145	55	130670	olsa: list: 14 / sentence: 15	-7.4	50.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
133.899	2.22	45	133899	olsa: list: 14 / sentence: 5	-7.4	50.0	olsa/sentences/82009.wav	Doris kauft drei grosse Ringe.
137.175	2.392	12	137175	olsa: list: 5 / sentence: 12	-9.7	20.0	olsa/sentences/52277.wav	Wolfgang kauft sieben schoene Schuhe.
140.776	2.097	57	140776	olsa: list: 14 / sentence: 17	-7.4	50.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
143.889	2.32	66	143889	olsa: list: 21 / sentence: 6	-6.7	60.0	olsa/sentences/51195.wav	Wolfgang sieht neun weisse Sessel.
147.397	1.941	51	147397	olsa: list: 14 / sentence: 11	-7.4	50.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
150.51	2.097	77	150510	olsa: list: 21 / sentence: 17	-6.7	60.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
153.692	2.085	23	153692	olsa: list: 10 / sentence: 3	-8.1	40.0	olsa/sentences/22336.wav	Tanja kauft acht nasse Messer.
156.829	2.118	13	156829	olsa: list: 5 / sentence: 13	-9.7	20.0	olsa/sentences/89135.wav	Doris malt neun nasse Sessel.
160.127	2.05	78	160127	olsa: list: 21 / sentence: 18	-6.7	60.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
163.31	1.938	80	163310	olsa: list: 21 / sentence: 20	-6.7	60.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
166.446	2.438	106	166446	olsa: list: 30 / sentence: 6	-2.5	95.0	olsa/sentences/72141.wav	Thomas kauft neun schwere Tassen.
169.931	2.411	47	169931	olsa: list: 14 / sentence: 7	-7.4	50.0	olsa/sentences/10681.wav	Kerstin bekommt zwei rote Tassen.
173.416	2.305	64	173416	olsa: list: 21 / sentence: 4	-6.7	60.0	olsa/sentences/02737.wav	Peter kauft achtzehn nasse Schuhe.
176.9	2.05	118	176900	olsa: list: 30 / sentence: 18	-2.5	95.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
180.013	2.292	46	180013	olsa: list: 14 / sentence: 6	-7.4	50.0	olsa/sentences/51417.wav	Wolfgang sieht vier kleine Schuhe.
183.452	2.565	36	183452	olsa: list: 10 / sentence: 16	-8.1	40.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
187.122	2.015	90	187122	olsa: list: 25 / sentence: 10	-5.1	80.0	olsa/sentences/47173.wav	Britta gewann neun schoene Bilder.
190.258	2.145	75	190258	olsa: list: 21 / sentence: 15	-6.7	60.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
193.487	1.846	63	193487	olsa: list: 21 / sentence: 3	-6.7	60.0	olsa/sentences/44529.wav	Britta schenkt fuenf alte Ringe.
196.554	1.883	49	196554	olsa: list: 14 / sentence: 9	-7.4	50.0	olsa/sentences/34226.wav	Ulrich schenkt sieben alte Messer.
199.574	2.05	8	199574	olsa: list: 5 / sentence: 8	-9.7	20.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
202.71	2.142	93	202710	olsa: list: 25 / sentence: 13	-5.1	80.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
205.893	2.206	102	205893	olsa: list: 30 / sentence: 2	-2.5	95.0	olsa/sentences/43285.wav	Britta gibt sieben rote Sessel.
209.285	2.196	59	209285	olsa: list: 14 / sentence: 19	-7.4	50.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
212.607	2.155	67	212607	olsa: list: 21 / sentence: 7	-6.7	60.0	olsa/sentences/23448.wav	Tanja gibt vier schwere Steine.
215.859	2.145	35	215859	olsa: list: 10 / sentence: 15	-8.1	40.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
219.158	2.05	38	219158	olsa: list: 10 / sentence: 18	-8.1	40.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
222.364	2.196	99	222364	olsa: list: 25 / sentence: 19	-5.1	80.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
225.616	2.091	24	225616	olsa: list: 10 / sentence: 4	-8.1	40.0	olsa/sentences/93692.wav	Nina gibt zwei weisse Autos.
228.915	2.213	69	228915	olsa: list: 21 / sentence: 9	-6.7	60.0	olsa/sentences/89364.wav	Doris malt acht teure Dosen.
