onset	duration	value	sample	trial_type	stim_file
6.29	0	2	6290	up-chirp	transient/upchirp_stim.wav
7.521	0	2	7521	up-chirp	transient/upchirp_stim.wav
8.729	0	2	8729	up-chirp	transient/upchirp_stim.wav
9.914	0	2	9914	up-chirp	transient/upchirp_stim.wav
11.168	0	2	11168	up-chirp	transient/upchirp_stim.wav
12.399	0	2	12399	up-chirp	transient/upchirp_stim.wav
13.514	0	2	13514	up-chirp	transient/upchirp_stim.wav
14.769	0	2	14769	up-chirp	transient/upchirp_stim.wav
15.93	0	2	15930	up-chirp	transient/upchirp_stim.wav
17.139	0	2	17139	up-chirp	transient/upchirp_stim.wav
18.416	0	2	18416	up-chirp	transient/upchirp_stim.wav
19.671	0	2	19671	up-chirp	transient/upchirp_stim.wav
20.856	0	2	20856	up-chirp	transient/upchirp_stim.wav
21.971	0	2	21971	up-chirp	transient/upchirp_stim.wav
23.272	0	2	23272	up-chirp	transient/upchirp_stim.wav
24.549	0	2	24549	up-chirp	transient/upchirp_stim.wav
25.781	0	2	25781	up-chirp	transient/upchirp_stim.wav
27.012	0	2	27012	up-chirp	transient/upchirp_stim.wav
28.197	0	2	28197	up-chirp	transient/upchirp_stim.wav
29.381	0	2	29381	up-chirp	transient/upchirp_stim.wav
30.682	0	2	30682	up-chirp	transient/upchirp_stim.wav
31.89	0	2	31890	up-chirp	transient/upchirp_stim.wav
33.098	0	2	33098	up-chirp	transient/upchirp_stim.wav
34.237	0	2	34237	up-chirp	transient/upchirp_stim.wav
35.468	0	2	35468	up-chirp	transient/upchirp_stim.wav
36.769	0	2	36769	up-chirp	transient/upchirp_stim.wav
38.047	0	2	38047	up-chirp	transient/upchirp_stim.wav
39.185	0	2	39185	up-chirp	transient/upchirp_stim.wav
40.439	0	2	40439	up-chirp	transient/upchirp_stim.wav
41.764	0	2	41764	up-chirp	transient/upchirp_stim.wav
42.972	0	2	42972	up-chirp	transient/upchirp_stim.wav
44.18	0	2	44180	up-chirp	transient/upchirp_stim.wav
45.434	0	2	45434	up-chirp	transient/upchirp_stim.wav
46.735	0	2	46735	up-chirp	transient/upchirp_stim.wav
47.873	0	2	47873	up-chirp	transient/upchirp_stim.wav
49.128	0	2	49128	up-chirp	transient/upchirp_stim.wav
50.429	0	2	50429	up-chirp	transient/upchirp_stim.wav
51.66	0	2	51660	up-chirp	transient/upchirp_stim.wav
52.798	0	2	52798	up-chirp	transient/upchirp_stim.wav
53.96	0	2	53960	up-chirp	transient/upchirp_stim.wav
55.191	0	2	55191	up-chirp	transient/upchirp_stim.wav
56.376	0	2	56376	up-chirp	transient/upchirp_stim.wav
57.654	0	2	57654	up-chirp	transient/upchirp_stim.wav
58.931	0	2	58931	up-chirp	transient/upchirp_stim.wav
60.14	0	2	60140	up-chirp	transient/upchirp_stim.wav
61.44	0	2	61440	up-chirp	transient/upchirp_stim.wav
62.648	0	2	62648	up-chirp	transient/upchirp_stim.wav
63.926	0	2	63926	up-chirp	transient/upchirp_stim.wav
65.088	0	2	65088	up-chirp	transient/upchirp_stim.wav
66.203	0	2	66203	up-chirp	transient/upchirp_stim.wav
67.457	0	2	67457	up-chirp	transient/upchirp_stim.wav
68.758	0	2	68758	up-chirp	transient/upchirp_stim.wav
70.059	0	2	70059	up-chirp	transient/upchirp_stim.wav
71.29	0	2	71290	up-chirp	transient/upchirp_stim.wav
72.452	0	2	72452	up-chirp	transient/upchirp_stim.wav
73.637	0	2	73637	up-chirp	transient/upchirp_stim.wav
74.822	0	2	74822	up-chirp	transient/upchirp_stim.wav
76.146	0	2	76146	up-chirp	transient/upchirp_stim.wav
77.261	0	2	77261	up-chirp	transient/upchirp_stim.wav
78.539	0	2	78539	up-chirp	transient/upchirp_stim.wav
85.582	1	1	85582	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
86.583	1	1	86583	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
87.583	1	1	87583	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
88.584	1	1	88584	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
89.584	1	1	89584	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
90.585	1	1	90585	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
91.585	1	1	91585	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
92.586	1	1	92586	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
93.586	1	1	93586	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
94.587	1	1	94587	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
95.587	1	1	95587	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
96.588	1	1	96588	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
97.588	1	1	97588	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
98.589	1	1	98589	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
99.589	1	1	99589	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
100.59	1	1	100590	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
101.59	1	1	101590	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
102.591	1	1	102591	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
103.591	1	1	103591	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
104.592	1	1	104592	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
105.592	1	1	105592	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
106.593	1	1	106593	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
107.593	1	1	107593	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
108.594	1	1	108594	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
109.594	1	1	109594	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
110.595	1	1	110595	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
111.595	1	1	111595	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
112.596	1	1	112596	audiobook 1s	audiobooks/task-audiobook1_run-01_stim.wav
