onset	duration	value	sample	trial_type	stim_file
8.444	0	2	8444	up-chirp	transient/upchirp_stim.wav
9.605	0	2	9605	up-chirp	transient/upchirp_stim.wav
10.72	0	2	10720	up-chirp	transient/upchirp_stim.wav
12.045	0	2	12045	up-chirp	transient/upchirp_stim.wav
13.276	0	2	13276	up-chirp	transient/upchirp_stim.wav
14.437	0	2	14437	up-chirp	transient/upchirp_stim.wav
15.669	0	2	15669	up-chirp	transient/upchirp_stim.wav
16.877	0	2	16877	up-chirp	transient/upchirp_stim.wav
18.085	0	2	18085	up-chirp	transient/upchirp_stim.wav
19.362	0	2	19362	up-chirp	transient/upchirp_stim.wav
20.617	0	2	20617	up-chirp	transient/upchirp_stim.wav
21.755	0	2	21755	up-chirp	transient/upchirp_stim.wav
23.01	0	2	23010	up-chirp	transient/upchirp_stim.wav
24.195	0	2	24195	up-chirp	transient/upchirp_stim.wav
25.403	0	2	25403	up-chirp	transient/upchirp_stim.wav
26.727	0	2	26727	up-chirp	transient/upchirp_stim.wav
27.888	0	2	27888	up-chirp	transient/upchirp_stim.wav
29.05	0	2	29050	up-chirp	transient/upchirp_stim.wav
30.351	0	2	30351	up-chirp	transient/upchirp_stim.wav
31.582	0	2	31582	up-chirp	transient/upchirp_stim.wav
32.813	0	2	32813	up-chirp	transient/upchirp_stim.wav
34.068	0	2	34068	up-chirp	transient/upchirp_stim.wav
35.253	0	2	35253	up-chirp	transient/upchirp_stim.wav
36.577	0	2	36577	up-chirp	transient/upchirp_stim.wav
37.855	0	2	37855	up-chirp	transient/upchirp_stim.wav
39.179	0	2	39179	up-chirp	transient/upchirp_stim.wav
40.456	0	2	40456	up-chirp	transient/upchirp_stim.wav
41.572	0	2	41572	up-chirp	transient/upchirp_stim.wav
42.71	0	2	42710	up-chirp	transient/upchirp_stim.wav
43.848	0	2	43848	up-chirp	transient/upchirp_stim.wav
45.103	0	2	45103	up-chirp	transient/upchirp_stim.wav
46.404	0	2	46404	up-chirp	transient/upchirp_stim.wav
47.542	0	2	47542	up-chirp	transient/upchirp_stim.wav
48.657	0	2	48657	up-chirp	transient/upchirp_stim.wav
49.958	0	2	49958	up-chirp	transient/upchirp_stim.wav
51.12	0	2	51120	up-chirp	transient/upchirp_stim.wav
52.304	0	2	52304	up-chirp	transient/upchirp_stim.wav
53.443	0	2	53443	up-chirp	transient/upchirp_stim.wav
54.581	0	2	54581	up-chirp	transient/upchirp_stim.wav
55.743	0	2	55743	up-chirp	transient/upchirp_stim.wav
56.974	0	2	56974	up-chirp	transient/upchirp_stim.wav
58.135	0	2	58135	up-chirp	transient/upchirp_stim.wav
59.413	0	2	59413	up-chirp	transient/upchirp_stim.wav
60.551	0	2	60551	up-chirp	transient/upchirp_stim.wav
61.713	0	2	61713	up-chirp	transient/upchirp_stim.wav
62.944	0	2	62944	up-chirp	transient/upchirp_stim.wav
64.152	0	2	64152	up-chirp	transient/upchirp_stim.wav
65.453	0	2	65453	up-chirp	transient/upchirp_stim.wav
66.592	0	2	66592	up-chirp	transient/upchirp_stim.wav
67.846	0	2	67846	up-chirp	transient/upchirp_stim.wav
69.031	0	2	69031	up-chirp	transient/upchirp_stim.wav
70.169	0	2	70169	up-chirp	transient/upchirp_stim.wav
71.331	0	2	71331	up-chirp	transient/upchirp_stim.wav
72.469	0	2	72469	up-chirp	transient/upchirp_stim.wav
73.654	0	2	73654	up-chirp	transient/upchirp_stim.wav
74.839	0	2	74839	up-chirp	transient/upchirp_stim.wav
76.0	0	2	76000	up-chirp	transient/upchirp_stim.wav
77.231	0	2	77231	up-chirp	transient/upchirp_stim.wav
78.463	0	2	78463	up-chirp	transient/upchirp_stim.wav
79.717	0	2	79717	up-chirp	transient/upchirp_stim.wav
86.728	1	1	86728	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
87.728	1	1	87728	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
88.729	1	1	88729	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
89.729	1	1	89729	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
90.73	1	1	90730	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
91.73	1	1	91730	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
92.731	1	1	92731	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
93.731	1	1	93731	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
94.732	1	1	94732	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
95.732	1	1	95732	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
96.733	1	1	96733	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
97.733	1	1	97733	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
98.734	1	1	98734	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
99.734	1	1	99734	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
100.735	1	1	100735	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
101.735	1	1	101735	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
102.736	1	1	102736	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
103.736	1	1	103736	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
104.737	1	1	104737	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
105.737	1	1	105737	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
106.737	1	1	106737	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
107.738	1	1	107738	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
108.738	1	1	108738	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
109.739	1	1	109739	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
110.739	1	1	110739	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
111.74	1	1	111740	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
112.74	1	1	112740	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
113.741	1	1	113741	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
114.741	1	1	114741	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
115.742	1	1	115742	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
116.742	1	1	116742	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
117.743	1	1	117743	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
118.743	1	1	118743	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
119.744	1	1	119744	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
120.744	1	1	120744	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
121.745	1	1	121745	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
122.745	1	1	122745	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
123.746	1	1	123746	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
124.746	1	1	124746	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
125.747	1	1	125747	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
126.747	1	1	126747	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
127.748	1	1	127748	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
128.748	1	1	128748	audiobook 1s	audiobooks/task-audiobook2_run-01_stim.wav
