onset	duration	value	sample	trial_type	stim_file
6.161	0	2	6161	up-chirp	transient/upchirp_stim.wav
7.416	0	2	7416	up-chirp	transient/upchirp_stim.wav
8.554	0	2	8554	up-chirp	transient/upchirp_stim.wav
9.716	0	2	9716	up-chirp	transient/upchirp_stim.wav
10.947	0	2	10947	up-chirp	transient/upchirp_stim.wav
12.155	0	2	12155	up-chirp	transient/upchirp_stim.wav
13.433	0	2	13433	up-chirp	transient/upchirp_stim.wav
14.687	0	2	14687	up-chirp	transient/upchirp_stim.wav
15.919	0	2	15919	up-chirp	transient/upchirp_stim.wav
17.173	0	2	17173	up-chirp	transient/upchirp_stim.wav
18.474	0	2	18474	up-chirp	transient/upchirp_stim.wav
19.682	0	2	19682	up-chirp	transient/upchirp_stim.wav
20.82	0	2	20820	up-chirp	transient/upchirp_stim.wav
22.005	0	2	22005	up-chirp	transient/upchirp_stim.wav
23.12	0	2	23120	up-chirp	transient/upchirp_stim.wav
24.259	0	2	24259	up-chirp	transient/upchirp_stim.wav
25.443	0	2	25443	up-chirp	transient/upchirp_stim.wav
26.744	0	2	26744	up-chirp	transient/upchirp_stim.wav
27.952	0	2	27952	up-chirp	transient/upchirp_stim.wav
29.114	0	2	29114	up-chirp	transient/upchirp_stim.wav
30.368	0	2	30368	up-chirp	transient/upchirp_stim.wav
31.53	0	2	31530	up-chirp	transient/upchirp_stim.wav
32.715	0	2	32715	up-chirp	transient/upchirp_stim.wav
33.946	0	2	33946	up-chirp	transient/upchirp_stim.wav
35.154	0	2	35154	up-chirp	transient/upchirp_stim.wav
36.385	0	2	36385	up-chirp	transient/upchirp_stim.wav
37.663	0	2	37663	up-chirp	transient/upchirp_stim.wav
38.871	0	2	38871	up-chirp	transient/upchirp_stim.wav
40.172	0	2	40172	up-chirp	transient/upchirp_stim.wav
41.45	0	2	41450	up-chirp	transient/upchirp_stim.wav
42.634	0	2	42634	up-chirp	transient/upchirp_stim.wav
43.842	0	2	43842	up-chirp	transient/upchirp_stim.wav
45.12	0	2	45120	up-chirp	transient/upchirp_stim.wav
46.305	0	2	46305	up-chirp	transient/upchirp_stim.wav
47.583	0	2	47583	up-chirp	transient/upchirp_stim.wav
48.721	0	2	48721	up-chirp	transient/upchirp_stim.wav
49.906	0	2	49906	up-chirp	transient/upchirp_stim.wav
51.044	0	2	51044	up-chirp	transient/upchirp_stim.wav
52.252	0	2	52252	up-chirp	transient/upchirp_stim.wav
53.553	0	2	53553	up-chirp	transient/upchirp_stim.wav
54.784	0	2	54784	up-chirp	transient/upchirp_stim.wav
56.062	0	2	56062	up-chirp	transient/upchirp_stim.wav
57.2	0	2	57200	up-chirp	transient/upchirp_stim.wav
58.408	0	2	58408	up-chirp	transient/upchirp_stim.wav
59.663	0	2	59663	up-chirp	transient/upchirp_stim.wav
60.894	0	2	60894	up-chirp	transient/upchirp_stim.wav
62.149	0	2	62149	up-chirp	transient/upchirp_stim.wav
63.45	0	2	63450	up-chirp	transient/upchirp_stim.wav
64.634	0	2	64634	up-chirp	transient/upchirp_stim.wav
65.935	0	2	65935	up-chirp	transient/upchirp_stim.wav
67.12	0	2	67120	up-chirp	transient/upchirp_stim.wav
68.421	0	2	68421	up-chirp	transient/upchirp_stim.wav
69.583	0	2	69583	up-chirp	transient/upchirp_stim.wav
70.744	0	2	70744	up-chirp	transient/upchirp_stim.wav
71.999	0	2	71999	up-chirp	transient/upchirp_stim.wav
73.276	0	2	73276	up-chirp	transient/upchirp_stim.wav
74.461	0	2	74461	up-chirp	transient/upchirp_stim.wav
75.716	0	2	75716	up-chirp	transient/upchirp_stim.wav
76.97	0	2	76970	up-chirp	transient/upchirp_stim.wav
78.248	0	2	78248	up-chirp	transient/upchirp_stim.wav
85.374	1	1	85374	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
86.375	1	1	86375	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
87.375	1	1	87375	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
88.376	1	1	88376	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
89.376	1	1	89376	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
90.377	1	1	90377	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
91.377	1	1	91377	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
92.378	1	1	92378	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
93.378	1	1	93378	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
94.379	1	1	94379	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
95.379	1	1	95379	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
96.38	1	1	96380	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
97.38	1	1	97380	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
98.381	1	1	98381	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
99.381	1	1	99381	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
100.382	1	1	100382	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
101.382	1	1	101382	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
102.383	1	1	102383	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
103.383	1	1	103383	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
104.384	1	1	104384	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
105.384	1	1	105384	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
106.385	1	1	106385	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
107.385	1	1	107385	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
108.386	1	1	108386	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
109.386	1	1	109386	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
110.387	1	1	110387	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
111.387	1	1	111387	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
112.388	1	1	112388	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
113.388	1	1	113388	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
114.389	1	1	114389	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
115.389	1	1	115389	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
116.39	1	1	116390	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
117.39	1	1	117390	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
118.39	1	1	118390	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
119.391	1	1	119391	audiobook 1s	audiobooks/task-audiobook1_run-02_stim.wav
