onset	duration	value	sample	trial_type	stim_file
6.595	0	2	6595	up-chirp	transient/upchirp_stim.wav
7.757	0	2	7757	up-chirp	transient/upchirp_stim.wav
8.895	0	2	8895	up-chirp	transient/upchirp_stim.wav
10.103	0	2	10103	up-chirp	transient/upchirp_stim.wav
11.427	0	2	11427	up-chirp	transient/upchirp_stim.wav
12.542	0	2	12542	up-chirp	transient/upchirp_stim.wav
13.657	0	2	13657	up-chirp	transient/upchirp_stim.wav
14.842	0	2	14842	up-chirp	transient/upchirp_stim.wav
16.073	0	2	16073	up-chirp	transient/upchirp_stim.wav
17.235	0	2	17235	up-chirp	transient/upchirp_stim.wav
18.466	0	2	18466	up-chirp	transient/upchirp_stim.wav
19.605	0	2	19605	up-chirp	transient/upchirp_stim.wav
20.743	0	2	20743	up-chirp	transient/upchirp_stim.wav
21.997	0	2	21997	up-chirp	transient/upchirp_stim.wav
23.252	0	2	23252	up-chirp	transient/upchirp_stim.wav
24.553	0	2	24553	up-chirp	transient/upchirp_stim.wav
25.831	0	2	25831	up-chirp	transient/upchirp_stim.wav
26.992	0	2	26992	up-chirp	transient/upchirp_stim.wav
28.13	0	2	28130	up-chirp	transient/upchirp_stim.wav
29.246	0	2	29246	up-chirp	transient/upchirp_stim.wav
30.384	0	2	30384	up-chirp	transient/upchirp_stim.wav
31.522	0	2	31522	up-chirp	transient/upchirp_stim.wav
32.661	0	2	32661	up-chirp	transient/upchirp_stim.wav
33.776	0	2	33776	up-chirp	transient/upchirp_stim.wav
34.984	0	2	34984	up-chirp	transient/upchirp_stim.wav
36.192	0	2	36192	up-chirp	transient/upchirp_stim.wav
37.493	0	2	37493	up-chirp	transient/upchirp_stim.wav
38.608	0	2	38608	up-chirp	transient/upchirp_stim.wav
39.793	0	2	39793	up-chirp	transient/upchirp_stim.wav
40.954	0	2	40954	up-chirp	transient/upchirp_stim.wav
42.092	0	2	42092	up-chirp	transient/upchirp_stim.wav
43.393	0	2	43393	up-chirp	transient/upchirp_stim.wav
44.555	0	2	44555	up-chirp	transient/upchirp_stim.wav
45.763	0	2	45763	up-chirp	transient/upchirp_stim.wav
46.924	0	2	46924	up-chirp	transient/upchirp_stim.wav
48.179	0	2	48179	up-chirp	transient/upchirp_stim.wav
49.317	0	2	49317	up-chirp	transient/upchirp_stim.wav
50.479	0	2	50479	up-chirp	transient/upchirp_stim.wav
51.687	0	2	51687	up-chirp	transient/upchirp_stim.wav
52.825	0	2	52825	up-chirp	transient/upchirp_stim.wav
54.103	0	2	54103	up-chirp	transient/upchirp_stim.wav
55.218	0	2	55218	up-chirp	transient/upchirp_stim.wav
56.426	0	2	56426	up-chirp	transient/upchirp_stim.wav
57.564	0	2	57564	up-chirp	transient/upchirp_stim.wav
58.865	0	2	58865	up-chirp	transient/upchirp_stim.wav
60.166	0	2	60166	up-chirp	transient/upchirp_stim.wav
61.374	0	2	61374	up-chirp	transient/upchirp_stim.wav
62.559	0	2	62559	up-chirp	transient/upchirp_stim.wav
63.79	0	2	63790	up-chirp	transient/upchirp_stim.wav
65.022	0	2	65022	up-chirp	transient/upchirp_stim.wav
66.16	0	2	66160	up-chirp	transient/upchirp_stim.wav
67.414	0	2	67414	up-chirp	transient/upchirp_stim.wav
68.576	0	2	68576	up-chirp	transient/upchirp_stim.wav
69.807	0	2	69807	up-chirp	transient/upchirp_stim.wav
