onset	duration	value	sample	trial_type	SNR	intelligibility	stim_file	sentence
12.133	2.438	106	12133	olsa: list: 30 / sentence: 6	-2.9	95.0	olsa/sentences/72141.wav	Thomas kauft neun schwere Tassen.
15.803	2.002	114	15803	olsa: list: 30 / sentence: 14	-2.9	95.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
18.94	2.002	74	18940	olsa: list: 21 / sentence: 14	-7.1	60.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
22.076	2.196	39	22076	olsa: list: 10 / sentence: 19	-8.5	40.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
25.468	2.085	23	25468	olsa: list: 10 / sentence: 3	-8.5	40.0	olsa/sentences/22336.wav	Tanja kauft acht nasse Messer.
28.627	2.193	48	28627	olsa: list: 14 / sentence: 8	-7.8	50.0	olsa/sentences/63558.wav	Stefan gibt fuenf gruene Steine.
31.903	2.031	17	31903	olsa: list: 5 / sentence: 17	-10.1	20.0	olsa/sentences/47048.wav	Britta gewann drei schwere Steine.
35.016	1.938	60	35016	olsa: list: 14 / sentence: 20	-7.8	50.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
38.036	2.427	85	38036	olsa: list: 25 / sentence: 5	-5.5	80.0	olsa/sentences/65555.wav	Stefan verleiht fuenf gruene Sessel.
41.59	2.137	81	41590	olsa: list: 25 / sentence: 1	-5.5	80.0	olsa/sentences/23081.wav	Tanja gibt drei rote Tassen.
44.796	2.039	43	44796	olsa: list: 14 / sentence: 3	-7.8	50.0	olsa/sentences/07970.wav	Peter gewann elf schoene Blumen.
47.932	1.941	1	47932	olsa: list: 5 / sentence: 1	-10.1	20.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
50.906	1.846	63	50906	olsa: list: 21 / sentence: 3	-7.1	60.0	olsa/sentences/44529.wav	Britta schenkt fuenf alte Ringe.
