onset	duration	value	sample	trial_type	stim_file
7.061	0	2	7061	up-chirp	transient/upchirp_stim.wav
8.199	0	2	8199	up-chirp	transient/upchirp_stim.wav
9.314	0	2	9314	up-chirp	transient/upchirp_stim.wav
10.452	0	2	10452	up-chirp	transient/upchirp_stim.wav
11.753	0	2	11753	up-chirp	transient/upchirp_stim.wav
13.031	0	2	13031	up-chirp	transient/upchirp_stim.wav
14.216	0	2	14216	up-chirp	transient/upchirp_stim.wav
15.401	0	2	15401	up-chirp	transient/upchirp_stim.wav
16.702	0	2	16702	up-chirp	transient/upchirp_stim.wav
17.979	0	2	17979	up-chirp	transient/upchirp_stim.wav
19.28	0	2	19280	up-chirp	transient/upchirp_stim.wav
20.535	0	2	20535	up-chirp	transient/upchirp_stim.wav
21.812	0	2	21812	up-chirp	transient/upchirp_stim.wav
23.044	0	2	23044	up-chirp	transient/upchirp_stim.wav
24.205	0	2	24205	up-chirp	transient/upchirp_stim.wav
25.46	0	2	25460	up-chirp	transient/upchirp_stim.wav
26.737	0	2	26737	up-chirp	transient/upchirp_stim.wav
27.969	0	2	27969	up-chirp	transient/upchirp_stim.wav
29.177	0	2	29177	up-chirp	transient/upchirp_stim.wav
30.292	0	2	30292	up-chirp	transient/upchirp_stim.wav
31.523	0	2	31523	up-chirp	transient/upchirp_stim.wav
32.685	0	2	32685	up-chirp	transient/upchirp_stim.wav
33.869	0	2	33869	up-chirp	transient/upchirp_stim.wav
35.008	0	2	35008	up-chirp	transient/upchirp_stim.wav
36.332	0	2	36332	up-chirp	transient/upchirp_stim.wav
37.563	0	2	37563	up-chirp	transient/upchirp_stim.wav
38.818	0	2	38818	up-chirp	transient/upchirp_stim.wav
40.095	0	2	40095	up-chirp	transient/upchirp_stim.wav
41.303	0	2	41303	up-chirp	transient/upchirp_stim.wav
42.488	0	2	42488	up-chirp	transient/upchirp_stim.wav
43.789	0	2	43789	up-chirp	transient/upchirp_stim.wav
44.927	0	2	44927	up-chirp	transient/upchirp_stim.wav
46.066	0	2	46066	up-chirp	transient/upchirp_stim.wav
47.274	0	2	47274	up-chirp	transient/upchirp_stim.wav
48.552	0	2	48552	up-chirp	transient/upchirp_stim.wav
49.852	0	2	49852	up-chirp	transient/upchirp_stim.wav
51.084	0	2	51084	up-chirp	transient/upchirp_stim.wav
52.338	0	2	52338	up-chirp	transient/upchirp_stim.wav
53.662	0	2	53662	up-chirp	transient/upchirp_stim.wav
