onset	duration	value	sample	trial_type	stim_file
6.272	0	2	6272	up-chirp	transient/upchirp_stim.wav
7.434	0	2	7434	up-chirp	transient/upchirp_stim.wav
8.665	0	2	8665	up-chirp	transient/upchirp_stim.wav
9.943	0	2	9943	up-chirp	transient/upchirp_stim.wav
11.104	0	2	11104	up-chirp	transient/upchirp_stim.wav
12.359	0	2	12359	up-chirp	transient/upchirp_stim.wav
13.637	0	2	13637	up-chirp	transient/upchirp_stim.wav
14.821	0	2	14821	up-chirp	transient/upchirp_stim.wav
16.029	0	2	16029	up-chirp	transient/upchirp_stim.wav
17.168	0	2	17168	up-chirp	transient/upchirp_stim.wav
18.306	0	2	18306	up-chirp	transient/upchirp_stim.wav
19.584	0	2	19584	up-chirp	transient/upchirp_stim.wav
20.769	0	2	20769	up-chirp	transient/upchirp_stim.wav
22.0	0	2	22000	up-chirp	transient/upchirp_stim.wav
23.208	0	2	23208	up-chirp	transient/upchirp_stim.wav
24.369	0	2	24369	up-chirp	transient/upchirp_stim.wav
25.508	0	2	25508	up-chirp	transient/upchirp_stim.wav
26.785	0	2	26785	up-chirp	transient/upchirp_stim.wav
27.947	0	2	27947	up-chirp	transient/upchirp_stim.wav
29.178	0	2	29178	up-chirp	transient/upchirp_stim.wav
30.409	0	2	30409	up-chirp	transient/upchirp_stim.wav
31.594	0	2	31594	up-chirp	transient/upchirp_stim.wav
32.872	0	2	32872	up-chirp	transient/upchirp_stim.wav
34.173	0	2	34173	up-chirp	transient/upchirp_stim.wav
35.474	0	2	35474	up-chirp	transient/upchirp_stim.wav
36.635	0	2	36635	up-chirp	transient/upchirp_stim.wav
37.867	0	2	37867	up-chirp	transient/upchirp_stim.wav
39.028	0	2	39028	up-chirp	transient/upchirp_stim.wav
40.143	0	2	40143	up-chirp	transient/upchirp_stim.wav
41.421	0	2	41421	up-chirp	transient/upchirp_stim.wav
42.676	0	2	42676	up-chirp	transient/upchirp_stim.wav
43.976	0	2	43976	up-chirp	transient/upchirp_stim.wav
45.115	0	2	45115	up-chirp	transient/upchirp_stim.wav
46.393	0	2	46393	up-chirp	transient/upchirp_stim.wav
47.647	0	2	47647	up-chirp	transient/upchirp_stim.wav
48.948	0	2	48948	up-chirp	transient/upchirp_stim.wav
50.202	0	2	50202	up-chirp	transient/upchirp_stim.wav
51.457	0	2	51457	up-chirp	transient/upchirp_stim.wav
52.619	0	2	52619	up-chirp	transient/upchirp_stim.wav
53.827	0	2	53827	up-chirp	transient/upchirp_stim.wav
55.058	0	2	55058	up-chirp	transient/upchirp_stim.wav
56.243	0	2	56243	up-chirp	transient/upchirp_stim.wav
57.497	0	2	57497	up-chirp	transient/upchirp_stim.wav
58.635	0	2	58635	up-chirp	transient/upchirp_stim.wav
59.774	0	2	59774	up-chirp	transient/upchirp_stim.wav
60.912	0	2	60912	up-chirp	transient/upchirp_stim.wav
62.05	0	2	62050	up-chirp	transient/upchirp_stim.wav
63.328	0	2	63328	up-chirp	transient/upchirp_stim.wav
64.583	0	2	64583	up-chirp	transient/upchirp_stim.wav
65.791	0	2	65791	up-chirp	transient/upchirp_stim.wav
66.975	0	2	66975	up-chirp	transient/upchirp_stim.wav
68.3	0	2	68300	up-chirp	transient/upchirp_stim.wav
69.531	0	2	69531	up-chirp	transient/upchirp_stim.wav
70.716	0	2	70716	up-chirp	transient/upchirp_stim.wav
71.877	0	2	71877	up-chirp	transient/upchirp_stim.wav
73.085	0	2	73085	up-chirp	transient/upchirp_stim.wav
74.293	0	2	74293	up-chirp	transient/upchirp_stim.wav
75.594	0	2	75594	up-chirp	transient/upchirp_stim.wav
76.756	0	2	76756	up-chirp	transient/upchirp_stim.wav
78.01	0	2	78010	up-chirp	transient/upchirp_stim.wav
85.073	1	1	85073	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
86.074	1	1	86074	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
87.074	1	1	87074	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
88.075	1	1	88075	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
89.075	1	1	89075	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
90.076	1	1	90076	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
91.076	1	1	91076	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
92.076	1	1	92076	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
93.077	1	1	93077	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
94.077	1	1	94077	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
95.078	1	1	95078	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
96.078	1	1	96078	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
97.079	1	1	97079	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
98.079	1	1	98079	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
99.08	1	1	99080	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
100.08	1	1	100080	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
101.081	1	1	101081	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
102.081	1	1	102081	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
103.082	1	1	103082	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
104.082	1	1	104082	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
105.083	1	1	105083	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
106.083	1	1	106083	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
107.084	1	1	107084	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
108.084	1	1	108084	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
109.085	1	1	109085	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
110.085	1	1	110085	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
111.086	1	1	111086	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
112.086	1	1	112086	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
113.087	1	1	113087	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
114.087	1	1	114087	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
115.088	1	1	115088	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
116.088	1	1	116088	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
117.089	1	1	117089	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
118.089	1	1	118089	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
119.09	1	1	119090	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
120.09	1	1	120090	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
121.091	1	1	121091	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
122.091	1	1	122091	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
123.092	1	1	123092	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
124.092	1	1	124092	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
125.092	1	1	125092	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
126.093	1	1	126093	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
127.093	1	1	127093	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
128.094	1	1	128094	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
129.094	1	1	129094	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
130.095	1	1	130095	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
131.095	1	1	131095	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
132.096	1	1	132096	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
133.096	1	1	133096	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
134.097	1	1	134097	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
135.097	1	1	135097	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
136.098	1	1	136098	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
137.098	1	1	137098	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
138.099	1	1	138099	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
139.099	1	1	139099	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
140.1	1	1	140100	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
141.1	1	1	141100	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
142.101	1	1	142101	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
143.101	1	1	143101	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
144.102	1	1	144102	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
145.102	1	1	145102	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
146.103	1	1	146103	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
147.103	1	1	147103	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
148.104	1	1	148104	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
149.104	1	1	149104	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
150.105	1	1	150105	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
151.105	1	1	151105	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
152.106	1	1	152106	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
153.106	1	1	153106	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
154.107	1	1	154107	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
155.107	1	1	155107	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
156.108	1	1	156108	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
157.108	1	1	157108	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
158.108	1	1	158108	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
159.109	1	1	159109	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
160.109	1	1	160109	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
161.11	1	1	161110	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
162.11	1	1	162110	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
163.111	1	1	163111	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
164.111	1	1	164111	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
165.112	1	1	165112	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
166.112	1	1	166112	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
167.113	1	1	167113	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
168.113	1	1	168113	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
169.114	1	1	169114	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
170.114	1	1	170114	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
171.115	1	1	171115	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
172.115	1	1	172115	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
173.116	1	1	173116	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
174.116	1	1	174116	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
175.117	1	1	175117	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
