onset	duration	value	sample	trial_type	stim_file
7.016	0	2	7016	up-chirp	transient/upchirp_stim.wav
8.247	0	2	8247	up-chirp	transient/upchirp_stim.wav
9.409	0	2	9409	up-chirp	transient/upchirp_stim.wav
10.686	0	2	10686	up-chirp	transient/upchirp_stim.wav
11.825	0	2	11825	up-chirp	transient/upchirp_stim.wav
12.986	0	2	12986	up-chirp	transient/upchirp_stim.wav
14.264	0	2	14264	up-chirp	transient/upchirp_stim.wav
15.449	0	2	15449	up-chirp	transient/upchirp_stim.wav
16.703	0	2	16703	up-chirp	transient/upchirp_stim.wav
18.027	0	2	18027	up-chirp	transient/upchirp_stim.wav
19.259	0	2	19259	up-chirp	transient/upchirp_stim.wav
20.49	0	2	20490	up-chirp	transient/upchirp_stim.wav
21.791	0	2	21791	up-chirp	transient/upchirp_stim.wav
23.092	0	2	23092	up-chirp	transient/upchirp_stim.wav
24.23	0	2	24230	up-chirp	transient/upchirp_stim.wav
25.508	0	2	25508	up-chirp	transient/upchirp_stim.wav
26.809	0	2	26809	up-chirp	transient/upchirp_stim.wav
28.11	0	2	28110	up-chirp	transient/upchirp_stim.wav
29.271	0	2	29271	up-chirp	transient/upchirp_stim.wav
30.503	0	2	30503	up-chirp	transient/upchirp_stim.wav
31.757	0	2	31757	up-chirp	transient/upchirp_stim.wav
33.012	0	2	33012	up-chirp	transient/upchirp_stim.wav
34.15	0	2	34150	up-chirp	transient/upchirp_stim.wav
35.335	0	2	35335	up-chirp	transient/upchirp_stim.wav
36.589	0	2	36589	up-chirp	transient/upchirp_stim.wav
37.82	0	2	37820	up-chirp	transient/upchirp_stim.wav
39.005	0	2	39005	up-chirp	transient/upchirp_stim.wav
40.26	0	2	40260	up-chirp	transient/upchirp_stim.wav
41.468	0	2	41468	up-chirp	transient/upchirp_stim.wav
42.792	0	2	42792	up-chirp	transient/upchirp_stim.wav
43.977	0	2	43977	up-chirp	transient/upchirp_stim.wav
45.138	0	2	45138	up-chirp	transient/upchirp_stim.wav
46.323	0	2	46323	up-chirp	transient/upchirp_stim.wav
47.624	0	2	47624	up-chirp	transient/upchirp_stim.wav
48.786	0	2	48786	up-chirp	transient/upchirp_stim.wav
50.017	0	2	50017	up-chirp	transient/upchirp_stim.wav
51.271	0	2	51271	up-chirp	transient/upchirp_stim.wav
52.479	0	2	52479	up-chirp	transient/upchirp_stim.wav
53.711	0	2	53711	up-chirp	transient/upchirp_stim.wav
54.849	0	2	54849	up-chirp	transient/upchirp_stim.wav
56.103	0	2	56103	up-chirp	transient/upchirp_stim.wav
57.358	0	2	57358	up-chirp	transient/upchirp_stim.wav
58.496	0	2	58496	up-chirp	transient/upchirp_stim.wav
59.727	0	2	59727	up-chirp	transient/upchirp_stim.wav
60.982	0	2	60982	up-chirp	transient/upchirp_stim.wav
62.283	0	2	62283	up-chirp	transient/upchirp_stim.wav
63.584	0	2	63584	up-chirp	transient/upchirp_stim.wav
64.862	0	2	64862	up-chirp	transient/upchirp_stim.wav
66.163	0	2	66163	up-chirp	transient/upchirp_stim.wav
67.278	0	2	67278	up-chirp	transient/upchirp_stim.wav
68.486	0	2	68486	up-chirp	transient/upchirp_stim.wav
69.717	0	2	69717	up-chirp	transient/upchirp_stim.wav
70.902	0	2	70902	up-chirp	transient/upchirp_stim.wav
72.226	0	2	72226	up-chirp	transient/upchirp_stim.wav
73.504	0	2	73504	up-chirp	transient/upchirp_stim.wav
