onset	duration	value	sample	trial_type	SNR	intelligibility	stim_file	sentence
12.437	1.786	107	12437	olsa: list: 30 / sentence: 7	-1.1	95.0	olsa/sentences/26626.wav	Tanja hat zwei alte Messer.
15.318	2.396	104	15318	olsa: list: 30 / sentence: 4	-1.1	95.0	olsa/sentences/67850.wav	Stefan gewann zwoelf gruene Blumen.
18.826	2.213	69	18826	olsa: list: 21 / sentence: 9	-5.3	60.0	olsa/sentences/89364.wav	Doris malt acht teure Dosen.
22.101	2.196	39	22101	olsa: list: 10 / sentence: 19	-6.7	40.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
25.33	1.938	60	25330	olsa: list: 14 / sentence: 20	-6.0	50.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
28.443	2.142	33	28443	olsa: list: 10 / sentence: 13	-6.7	40.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
31.673	1.946	18	31673	olsa: list: 5 / sentence: 18	-8.3	20.0	olsa/sentences/76802.wav	Thomas hat zwoelf grosse Autos.
34.786	2.05	98	34786	olsa: list: 25 / sentence: 18	-3.7	80.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
37.852	2.549	52	37852	olsa: list: 14 / sentence: 12	-6.0	50.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
41.569	2.441	26	41569	olsa: list: 10 / sentence: 6	-6.7	40.0	olsa/sentences/11755.wav	Kerstin sieht achtzehn gruene Sessel.
45.147	2.097	117	45147	olsa: list: 30 / sentence: 17	-1.1	95.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
48.399	2.081	108	48399	olsa: list: 30 / sentence: 8	-1.1	95.0	olsa/sentences/94067.wav	Nina schenkt drei teure Schuhe.
51.535	2.549	2	51535	olsa: list: 5 / sentence: 2	-8.3	20.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
55.252	2.287	101	55252	olsa: list: 30 / sentence: 1	-1.1	95.0	olsa/sentences/80338.wav	Doris bekommt acht nasse Steine.
58.667	1.938	120	58667	olsa: list: 30 / sentence: 20	-1.1	95.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
61.757	1.938	80	61757	olsa: list: 21 / sentence: 20	-5.3	60.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
64.8	2.145	95	64800	olsa: list: 25 / sentence: 15	-3.7	80.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
68.146	2.411	28	68146	olsa: list: 10 / sentence: 8	-6.7	40.0	olsa/sentences/87470.wav	Doris gewann vier schoene Blumen.
71.677	2.193	48	71677	olsa: list: 14 / sentence: 8	-6.0	50.0	olsa/sentences/63558.wav	Stefan gibt fuenf gruene Steine.
74.929	2.522	42	74929	olsa: list: 14 / sentence: 2	-6.0	50.0	olsa/sentences/29744.wav	Tanja malt achtzehn schwere Dosen.
