onset	duration	value	sample	trial_type	stim_file
8.723	0	2	8723	up-chirp	transient/upchirp_stim.wav
9.861	0	2	9861	up-chirp	transient/upchirp_stim.wav
10.976	0	2	10976	up-chirp	transient/upchirp_stim.wav
12.277	0	2	12277	up-chirp	transient/upchirp_stim.wav
13.416	0	2	13416	up-chirp	transient/upchirp_stim.wav
14.577	0	2	14577	up-chirp	transient/upchirp_stim.wav
15.832	0	2	15832	up-chirp	transient/upchirp_stim.wav
16.947	0	2	16947	up-chirp	transient/upchirp_stim.wav
18.178	0	2	18178	up-chirp	transient/upchirp_stim.wav
19.34	0	2	19340	up-chirp	transient/upchirp_stim.wav
20.478	0	2	20478	up-chirp	transient/upchirp_stim.wav
21.709	0	2	21709	up-chirp	transient/upchirp_stim.wav
22.848	0	2	22848	up-chirp	transient/upchirp_stim.wav
24.032	0	2	24032	up-chirp	transient/upchirp_stim.wav
25.264	0	2	25264	up-chirp	transient/upchirp_stim.wav
26.379	0	2	26379	up-chirp	transient/upchirp_stim.wav
27.68	0	2	27680	up-chirp	transient/upchirp_stim.wav
28.795	0	2	28795	up-chirp	transient/upchirp_stim.wav
30.026	0	2	30026	up-chirp	transient/upchirp_stim.wav
31.211	0	2	31211	up-chirp	transient/upchirp_stim.wav
32.326	0	2	32326	up-chirp	transient/upchirp_stim.wav
33.557	0	2	33557	up-chirp	transient/upchirp_stim.wav
34.858	0	2	34858	up-chirp	transient/upchirp_stim.wav
36.02	0	2	36020	up-chirp	transient/upchirp_stim.wav
37.228	0	2	37228	up-chirp	transient/upchirp_stim.wav
38.436	0	2	38436	up-chirp	transient/upchirp_stim.wav
39.713	0	2	39713	up-chirp	transient/upchirp_stim.wav
40.852	0	2	40852	up-chirp	transient/upchirp_stim.wav
42.083	0	2	42083	up-chirp	transient/upchirp_stim.wav
43.245	0	2	43245	up-chirp	transient/upchirp_stim.wav
44.383	0	2	44383	up-chirp	transient/upchirp_stim.wav
45.544	0	2	45544	up-chirp	transient/upchirp_stim.wav
