onset	duration	value	sample	trial_type	SNR	intelligibility	stim_file	sentence
9.906	2.268	110	9906	olsa: list: 30 / sentence: 10	-1.4	95.0	olsa/sentences/18502.wav	Kerstin nahm fuenf grosse Autos.
13.251	2.145	115	13251	olsa: list: 30 / sentence: 15	-1.4	95.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
16.573	2.085	23	16573	olsa: list: 10 / sentence: 3	-7.0	40.0	olsa/sentences/22336.wav	Tanja kauft acht nasse Messer.
19.849	2.235	20	19849	olsa: list: 5 / sentence: 20	-8.6	20.0	olsa/sentences/24621.wav	Tanja schenkt zwei alte Tassen.
23.217	2.105	88	23217	olsa: list: 25 / sentence: 8	-4.0	80.0	olsa/sentences/92629.wav	Nina kauft zwei alte Ringe.
26.539	2.32	66	26539	olsa: list: 21 / sentence: 6	-5.6	60.0	olsa/sentences/51195.wav	Wolfgang sieht neun weisse Sessel.
30.024	2.532	41	30024	olsa: list: 14 / sentence: 1	-6.3	50.0	olsa/sentences/95162.wav	Nina verleiht neun teure Autos.
33.625	2.145	55	33625	olsa: list: 14 / sentence: 15	-6.3	50.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
36.9	2.039	43	36900	olsa: list: 14 / sentence: 3	-6.3	50.0	olsa/sentences/07970.wav	Peter gewann elf schoene Blumen.
40.083	1.941	71	40083	olsa: list: 21 / sentence: 11	-5.6	60.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
43.173	1.938	60	43173	olsa: list: 14 / sentence: 20	-6.3	50.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
46.262	2.549	72	46262	olsa: list: 21 / sentence: 12	-5.6	60.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
49.979	2.217	109	49979	olsa: list: 30 / sentence: 9	-1.4	95.0	olsa/sentences/05413.wav	Peter verleiht vier kleine Bilder.
53.394	2.549	52	53394	olsa: list: 14 / sentence: 12	-6.3	50.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
57.135	2.077	61	57135	olsa: list: 21 / sentence: 1	-5.6	60.0	olsa/sentences/37886.wav	Ulrich gewann zwoelf rote Messer.
60.317	2.196	59	60317	olsa: list: 14 / sentence: 19	-6.3	50.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
63.663	1.883	49	63663	olsa: list: 14 / sentence: 9	-6.3	50.0	olsa/sentences/34226.wav	Ulrich schenkt sieben alte Messer.
