onset	duration	value	sample	trial_type	stim_file
5.992	0	2	5992	up-chirp	transient/upchirp_stim.wav
7.107	0	2	7107	up-chirp	transient/upchirp_stim.wav
8.269	0	2	8269	up-chirp	transient/upchirp_stim.wav
9.43	0	2	9430	up-chirp	transient/upchirp_stim.wav
10.639	0	2	10639	up-chirp	transient/upchirp_stim.wav
11.823	0	2	11823	up-chirp	transient/upchirp_stim.wav
12.962	0	2	12962	up-chirp	transient/upchirp_stim.wav
14.1	0	2	14100	up-chirp	transient/upchirp_stim.wav
15.354	0	2	15354	up-chirp	transient/upchirp_stim.wav
16.655	0	2	16655	up-chirp	transient/upchirp_stim.wav
17.956	0	2	17956	up-chirp	transient/upchirp_stim.wav
19.118	0	2	19118	up-chirp	transient/upchirp_stim.wav
20.396	0	2	20396	up-chirp	transient/upchirp_stim.wav
21.511	0	2	21511	up-chirp	transient/upchirp_stim.wav
22.765	0	2	22765	up-chirp	transient/upchirp_stim.wav
23.95	0	2	23950	up-chirp	transient/upchirp_stim.wav
25.088	0	2	25088	up-chirp	transient/upchirp_stim.wav
26.343	0	2	26343	up-chirp	transient/upchirp_stim.wav
27.667	0	2	27667	up-chirp	transient/upchirp_stim.wav
28.968	0	2	28968	up-chirp	transient/upchirp_stim.wav
30.176	0	2	30176	up-chirp	transient/upchirp_stim.wav
31.477	0	2	31477	up-chirp	transient/upchirp_stim.wav
32.662	0	2	32662	up-chirp	transient/upchirp_stim.wav
33.777	0	2	33777	up-chirp	transient/upchirp_stim.wav
34.892	0	2	34892	up-chirp	transient/upchirp_stim.wav
36.03	0	2	36030	up-chirp	transient/upchirp_stim.wav
37.169	0	2	37169	up-chirp	transient/upchirp_stim.wav
38.446	0	2	38446	up-chirp	transient/upchirp_stim.wav
39.724	0	2	39724	up-chirp	transient/upchirp_stim.wav
40.909	0	2	40909	up-chirp	transient/upchirp_stim.wav
42.163	0	2	42163	up-chirp	transient/upchirp_stim.wav
43.371	0	2	43371	up-chirp	transient/upchirp_stim.wav
44.626	0	2	44626	up-chirp	transient/upchirp_stim.wav
45.927	0	2	45927	up-chirp	transient/upchirp_stim.wav
47.158	0	2	47158	up-chirp	transient/upchirp_stim.wav
48.296	0	2	48296	up-chirp	transient/upchirp_stim.wav
49.458	0	2	49458	up-chirp	transient/upchirp_stim.wav
50.619	0	2	50619	up-chirp	transient/upchirp_stim.wav
51.758	0	2	51758	up-chirp	transient/upchirp_stim.wav
52.943	0	2	52943	up-chirp	transient/upchirp_stim.wav
54.127	0	2	54127	up-chirp	transient/upchirp_stim.wav
55.382	0	2	55382	up-chirp	transient/upchirp_stim.wav
56.636	0	2	56636	up-chirp	transient/upchirp_stim.wav
57.891	0	2	57891	up-chirp	transient/upchirp_stim.wav
59.122	0	2	59122	up-chirp	transient/upchirp_stim.wav
60.237	0	2	60237	up-chirp	transient/upchirp_stim.wav
61.492	0	2	61492	up-chirp	transient/upchirp_stim.wav
62.769	0	2	62769	up-chirp	transient/upchirp_stim.wav
64.001	0	2	64001	up-chirp	transient/upchirp_stim.wav
65.185	0	2	65185	up-chirp	transient/upchirp_stim.wav
66.51	0	2	66510	up-chirp	transient/upchirp_stim.wav
67.718	0	2	67718	up-chirp	transient/upchirp_stim.wav
68.902	0	2	68902	up-chirp	transient/upchirp_stim.wav
