onset	duration	value	sample	trial_type	SNR	intelligibility	stim_file	sentence
11.966	2.196	119	11966	olsa: list: 30 / sentence: 19	-2.8	95.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
15.311	2.396	104	15311	olsa: list: 30 / sentence: 4	-2.8	95.0	olsa/sentences/67850.wav	Stefan gewann zwoelf gruene Blumen.
18.819	2.549	2	18819	olsa: list: 5 / sentence: 2	-10.0	20.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
22.396	2.287	15	22396	olsa: list: 5 / sentence: 15	-10.0	20.0	olsa/sentences/95569.wav	Nina verleiht fuenf teure Ringe.
25.835	1.938	10	25835	olsa: list: 5 / sentence: 10	-10.0	20.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
28.901	2.145	95	28901	olsa: list: 25 / sentence: 15	-5.4	80.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
32.223	2.565	6	32223	olsa: list: 5 / sentence: 6	-10.0	20.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
35.801	2.142	113	35801	olsa: list: 30 / sentence: 13	-2.8	95.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
39.03	2.287	101	39030	olsa: list: 30 / sentence: 1	-2.8	95.0	olsa/sentences/80338.wav	Doris bekommt acht nasse Steine.
42.515	2.305	64	42515	olsa: list: 21 / sentence: 4	-7.0	60.0	olsa/sentences/02737.wav	Peter kauft achtzehn nasse Schuhe.
45.93	2.05	98	45930	olsa: list: 25 / sentence: 18	-5.4	80.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
49.066	2.097	97	49066	olsa: list: 25 / sentence: 17	-5.4	80.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
52.295	2.118	13	52295	olsa: list: 5 / sentence: 13	-10.0	20.0	olsa/sentences/89135.wav	Doris malt neun nasse Sessel.
55.431	2.132	14	55431	olsa: list: 5 / sentence: 14	-10.0	20.0	olsa/sentences/33980.wav	Ulrich gibt elf rote Blumen.
58.614	2.142	93	58614	olsa: list: 25 / sentence: 13	-5.4	80.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
61.959	1.941	1	61959	olsa: list: 5 / sentence: 1	-10.0	20.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
65.002	2.292	46	65002	olsa: list: 14 / sentence: 6	-7.7	50.0	olsa/sentences/51417.wav	Wolfgang sieht vier kleine Schuhe.
68.324	2.097	57	68324	olsa: list: 14 / sentence: 17	-7.7	50.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
71.577	2.145	55	71577	olsa: list: 14 / sentence: 15	-7.7	50.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
74.783	1.987	29	74783	olsa: list: 10 / sentence: 9	-8.4	40.0	olsa/sentences/36514.wav	Ulrich hat fuenf kleine Dosen.
77.872	2.196	79	77872	olsa: list: 21 / sentence: 19	-7.0	60.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
81.171	2.137	81	81171	olsa: list: 25 / sentence: 1	-5.4	80.0	olsa/sentences/23081.wav	Tanja gibt drei rote Tassen.
84.354	2.091	24	84354	olsa: list: 10 / sentence: 4	-8.4	40.0	olsa/sentences/93692.wav	Nina gibt zwei weisse Autos.
87.56	2.114	86	87560	olsa: list: 25 / sentence: 6	-5.4	80.0	olsa/sentences/34994.wav	Ulrich schenkt elf weisse Dosen.
90.859	2.131	21	90859	olsa: list: 10 / sentence: 1	-8.4	40.0	olsa/sentences/69009.wav	Stefan malt drei grosse Ringe.
94.041	2.002	34	94041	olsa: list: 10 / sentence: 14	-8.4	40.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
97.201	2.196	9	97201	olsa: list: 5 / sentence: 9	-10.0	20.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
100.453	2.039	43	100453	olsa: list: 14 / sentence: 3	-7.7	50.0	olsa/sentences/07970.wav	Peter gewann elf schoene Blumen.
103.543	2.105	88	103543	olsa: list: 25 / sentence: 8	-5.4	80.0	olsa/sentences/92629.wav	Nina kauft zwei alte Ringe.
106.842	2.217	109	106842	olsa: list: 30 / sentence: 9	-2.8	95.0	olsa/sentences/05413.wav	Peter verleiht vier kleine Bilder.
110.257	2.155	67	110257	olsa: list: 21 / sentence: 7	-7.0	60.0	olsa/sentences/23448.wav	Tanja gibt vier schwere Steine.
113.602	2.002	74	113602	olsa: list: 21 / sentence: 14	-7.0	60.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
116.738	2.145	115	116738	olsa: list: 30 / sentence: 15	-2.8	95.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
