onset	duration	value	sample	trial_type	SNR	intelligibility	stim_file	sentence
11.435	2.081	108	11435	olsa: list: 30 / sentence: 8	-2.3	95.0	olsa/sentences/94067.wav	Nina schenkt drei teure Schuhe.
14.595	2.549	112	14595	olsa: list: 30 / sentence: 12	-2.3	95.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
18.265	2.085	23	18265	olsa: list: 10 / sentence: 3	-7.9	40.0	olsa/sentences/22336.wav	Tanja kauft acht nasse Messer.
21.424	2.145	55	21424	olsa: list: 14 / sentence: 15	-7.2	50.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
24.77	2.097	57	24770	olsa: list: 14 / sentence: 17	-7.2	50.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
27.929	2.196	9	27929	olsa: list: 5 / sentence: 9	-9.5	20.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
31.251	2.05	78	31251	olsa: list: 21 / sentence: 18	-6.5	60.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
34.364	2.097	117	34364	olsa: list: 30 / sentence: 17	-2.3	95.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
37.477	2.235	20	37477	olsa: list: 5 / sentence: 20	-9.5	20.0	olsa/sentences/24621.wav	Tanja schenkt zwei alte Tassen.
40.73	2.438	106	40730	olsa: list: 30 / sentence: 6	-2.3	95.0	olsa/sentences/72141.wav	Thomas kauft neun schwere Tassen.
44.307	2.097	77	44307	olsa: list: 21 / sentence: 17	-6.5	60.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
47.583	2.287	15	47583	olsa: list: 5 / sentence: 15	-9.5	20.0	olsa/sentences/95569.wav	Nina verleiht fuenf teure Ringe.
51.091	2.385	105	51091	olsa: list: 30 / sentence: 5	-2.3	95.0	olsa/sentences/51779.wav	Wolfgang sieht achtzehn schoene Ringe.
54.622	2.162	19	54622	olsa: list: 5 / sentence: 19	-9.5	20.0	olsa/sentences/18314.wav	Kerstin nahm acht kleine Dosen.
57.805	2.549	2	57805	olsa: list: 5 / sentence: 2	-9.5	20.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
61.568	2.002	114	61568	olsa: list: 30 / sentence: 14	-2.3	95.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
64.727	1.946	18	64727	olsa: list: 5 / sentence: 18	-9.5	20.0	olsa/sentences/76802.wav	Thomas hat zwoelf grosse Autos.
67.84	2.142	53	67840	olsa: list: 14 / sentence: 13	-7.2	50.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
71.163	2.32	66	71163	olsa: list: 21 / sentence: 6	-6.5	60.0	olsa/sentences/51195.wav	Wolfgang sieht neun weisse Sessel.
74.508	2.091	24	74508	olsa: list: 10 / sentence: 4	-7.9	40.0	olsa/sentences/93692.wav	Nina gibt zwei weisse Autos.
77.667	2.097	97	77667	olsa: list: 25 / sentence: 17	-4.9	80.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
80.873	2.043	50	80873	olsa: list: 14 / sentence: 10	-7.2	50.0	olsa/sentences/78835.wav	Thomas nahm zwoelf nasse Sessel.
84.009	2.196	99	84009	olsa: list: 25 / sentence: 19	-4.9	80.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
87.215	2.532	41	87215	olsa: list: 14 / sentence: 1	-7.2	50.0	olsa/sentences/95162.wav	Nina verleiht neun teure Autos.
