onset	duration	value	sample	trial_type	SNR	intelligibility	stim_file	sentence
16.922	2.206	102	16922	olsa: list: 30 / sentence: 2	-4.5	95.0	olsa/sentences/43285.wav	Britta gibt sieben rote Sessel.
20.198	2.217	109	20198	olsa: list: 30 / sentence: 9	-4.5	95.0	olsa/sentences/05413.wav	Peter verleiht vier kleine Bilder.
23.567	1.938	80	23567	olsa: list: 21 / sentence: 20	-8.7	60.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
26.54	2.05	118	26540	olsa: list: 30 / sentence: 18	-4.5	95.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
29.793	2.142	3	29793	olsa: list: 5 / sentence: 3	-11.7	20.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
33.115	1.804	44	33115	olsa: list: 14 / sentence: 4	-9.4	50.0	olsa/sentences/46393.wav	Britta hat acht weisse Bilder.
35.949	2.108	27	35949	olsa: list: 10 / sentence: 7	-10.1	40.0	olsa/sentences/08168.wav	Peter nahm neun teure Steine.
39.131	2.097	97	39131	olsa: list: 25 / sentence: 17	-7.1	80.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
42.43	2.085	23	42430	olsa: list: 10 / sentence: 3	-10.1	40.0	olsa/sentences/22336.wav	Tanja kauft acht nasse Messer.
45.659	2.411	47	45659	olsa: list: 14 / sentence: 7	-9.4	50.0	olsa/sentences/10681.wav	Kerstin bekommt zwei rote Tassen.
49.191	2.142	93	49191	olsa: list: 25 / sentence: 13	-7.1	80.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
52.35	2.362	11	52350	olsa: list: 5 / sentence: 11	-11.7	20.0	olsa/sentences/61793.wav	Stefan sieht achtzehn weisse Bilder.
55.904	2.091	24	55904	olsa: list: 10 / sentence: 4	-10.1	40.0	olsa/sentences/93692.wav	Nina gibt zwei weisse Autos.
59.11	1.832	89	59110	olsa: list: 25 / sentence: 9	-7.1	80.0	olsa/sentences/09216.wav	Peter malt sieben kleine Messer.
61.968	1.786	107	61968	olsa: list: 30 / sentence: 7	-4.5	95.0	olsa/sentences/26626.wav	Tanja hat zwei alte Messer.
64.872	2.287	101	64872	olsa: list: 30 / sentence: 1	-4.5	95.0	olsa/sentences/80338.wav	Doris bekommt acht nasse Steine.
68.171	2.097	57	68171	olsa: list: 14 / sentence: 17	-9.4	50.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
71.446	2.193	48	71446	olsa: list: 14 / sentence: 8	-9.4	50.0	olsa/sentences/63558.wav	Stefan gibt fuenf gruene Steine.
74.838	1.941	111	74838	olsa: list: 30 / sentence: 11	-4.5	95.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
77.904	2.292	46	77904	olsa: list: 14 / sentence: 6	-9.4	50.0	olsa/sentences/51417.wav	Wolfgang sieht vier kleine Schuhe.
81.343	2.008	82	81343	olsa: list: 25 / sentence: 2	-7.1	80.0	olsa/sentences/86800.wav	Doris hat zwoelf grosse Blumen.
84.549	2.392	12	84549	olsa: list: 5 / sentence: 12	-11.7	20.0	olsa/sentences/52277.wav	Wolfgang kauft sieben schoene Schuhe.
87.987	2.097	7	87987	olsa: list: 5 / sentence: 7	-11.7	20.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
91.123	2.142	33	91123	olsa: list: 10 / sentence: 13	-10.1	40.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
94.375	1.941	51	94375	olsa: list: 14 / sentence: 11	-9.4	50.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
97.442	2.002	54	97442	olsa: list: 14 / sentence: 14	-9.4	50.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
100.532	1.883	49	100532	olsa: list: 14 / sentence: 9	-9.4	50.0	olsa/sentences/34226.wav	Ulrich schenkt sieben alte Messer.
103.528	2.142	53	103528	olsa: list: 14 / sentence: 13	-9.4	50.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
106.827	2.26	22	106827	olsa: list: 10 / sentence: 2	-10.1	40.0	olsa/sentences/70287.wav	Thomas bekommt sieben rote Schuhe.
110.242	2.549	92	110242	olsa: list: 25 / sentence: 12	-7.1	80.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
113.959	1.946	18	113959	olsa: list: 5 / sentence: 18	-11.7	20.0	olsa/sentences/76802.wav	Thomas hat zwoelf grosse Autos.
117.095	2.411	28	117095	olsa: list: 10 / sentence: 8	-10.1	40.0	olsa/sentences/87470.wav	Doris gewann vier schoene Blumen.
120.557	2.05	38	120557	olsa: list: 10 / sentence: 18	-10.1	40.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
123.74	2.549	32	123740	olsa: list: 10 / sentence: 12	-10.1	40.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
127.503	2.145	95	127503	olsa: list: 25 / sentence: 15	-7.1	80.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
130.755	1.938	10	130755	olsa: list: 5 / sentence: 10	-11.7	20.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
133.892	2.196	79	133892	olsa: list: 21 / sentence: 19	-8.7	60.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
137.26	1.987	29	137260	olsa: list: 10 / sentence: 9	-10.1	40.0	olsa/sentences/36514.wav	Ulrich hat fuenf kleine Dosen.
140.443	2.565	56	140443	olsa: list: 14 / sentence: 16	-9.4	50.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
144.09	2.105	88	144090	olsa: list: 25 / sentence: 8	-7.1	80.0	olsa/sentences/92629.wav	Nina kauft zwei alte Ringe.
147.296	2.043	50	147296	olsa: list: 14 / sentence: 10	-9.4	50.0	olsa/sentences/78835.wav	Thomas nahm zwoelf nasse Sessel.
150.409	1.938	100	150409	olsa: list: 25 / sentence: 20	-7.1	80.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
153.383	2.305	64	153383	olsa: list: 21 / sentence: 4	-8.7	60.0	olsa/sentences/02737.wav	Peter kauft achtzehn nasse Schuhe.
156.798	2.05	8	156798	olsa: list: 5 / sentence: 8	-11.7	20.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
159.98	2.132	14	159980	olsa: list: 5 / sentence: 14	-11.7	20.0	olsa/sentences/33980.wav	Ulrich gibt elf rote Blumen.
163.279	2.532	41	163279	olsa: list: 14 / sentence: 1	-9.4	50.0	olsa/sentences/95162.wav	Nina verleiht neun teure Autos.
166.88	1.941	31	166880	olsa: list: 10 / sentence: 11	-10.1	40.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
170.016	2.155	67	170016	olsa: list: 21 / sentence: 7	-8.7	60.0	olsa/sentences/23448.wav	Tanja gibt vier schwere Steine.
173.269	2.565	36	173269	olsa: list: 10 / sentence: 16	-10.1	40.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
176.846	2.213	69	176846	olsa: list: 21 / sentence: 9	-8.7	60.0	olsa/sentences/89364.wav	Doris malt acht teure Dosen.
180.122	2.145	5	180122	olsa: list: 5 / sentence: 5	-11.7	20.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
