onset	duration	value	sample	trial_type	SNR	intelligibility	stim_file	sentence
12.09	2.222	103	12090	olsa: list: 30 / sentence: 3	-2.6	95.0	olsa/sentences/39994.wav	Ulrich malt elf weisse Dosen.
15.505	2.268	110	15505	olsa: list: 30 / sentence: 10	-2.6	95.0	olsa/sentences/18502.wav	Kerstin nahm fuenf grosse Autos.
18.874	2.578	70	18874	olsa: list: 21 / sentence: 10	-6.8	60.0	olsa/sentences/15952.wav	Kerstin verleiht elf gruene Autos.
22.498	2.385	105	22498	olsa: list: 30 / sentence: 5	-2.6	95.0	olsa/sentences/51779.wav	Wolfgang sieht achtzehn schoene Ringe.
26.052	2.549	72	26052	olsa: list: 21 / sentence: 12	-6.8	60.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
29.723	2.052	16	29723	olsa: list: 5 / sentence: 16	-9.8	20.0	olsa/sentences/00456.wav	Peter bekommt vier gruene Messer.
32.813	2.142	73	32813	olsa: list: 21 / sentence: 13	-6.8	60.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
36.181	2.114	86	36181	olsa: list: 25 / sentence: 6	-5.2	80.0	olsa/sentences/34994.wav	Ulrich schenkt elf weisse Dosen.
39.387	1.804	44	39387	olsa: list: 14 / sentence: 4	-7.5	50.0	olsa/sentences/46393.wav	Britta hat acht weisse Bilder.
42.338	2.192	62	42338	olsa: list: 21 / sentence: 2	-6.8	60.0	olsa/sentences/90013.wav	Nina bekommt drei kleine Bilder.
45.613	2.097	7	45613	olsa: list: 5 / sentence: 7	-9.8	20.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
48.726	2.549	112	48726	olsa: list: 30 / sentence: 12	-2.6	95.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
52.373	2.362	11	52373	olsa: list: 5 / sentence: 11	-9.8	20.0	olsa/sentences/61793.wav	Stefan sieht achtzehn weisse Bilder.
55.835	2.565	6	55835	olsa: list: 5 / sentence: 6	-9.8	20.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
59.529	2.193	48	59529	olsa: list: 14 / sentence: 8	-7.5	50.0	olsa/sentences/63558.wav	Stefan gibt fuenf gruene Steine.
62.804	2.002	54	62804	olsa: list: 14 / sentence: 14	-7.5	50.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
65.871	2.196	39	65871	olsa: list: 10 / sentence: 19	-8.2	40.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
69.216	2.235	20	69216	olsa: list: 5 / sentence: 20	-9.8	20.0	olsa/sentences/24621.wav	Tanja schenkt zwei alte Tassen.
72.677	2.565	96	72677	olsa: list: 25 / sentence: 16	-5.2	80.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
76.255	2.392	12	76255	olsa: list: 5 / sentence: 12	-9.8	20.0	olsa/sentences/52277.wav	Wolfgang kauft sieben schoene Schuhe.
79.856	2.549	92	79856	olsa: list: 25 / sentence: 12	-5.2	80.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
83.503	2.142	53	83503	olsa: list: 14 / sentence: 13	-7.5	50.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
86.709	1.786	107	86709	olsa: list: 30 / sentence: 7	-2.6	95.0	olsa/sentences/26626.wav	Tanja hat zwei alte Messer.
89.59	2.008	82	89590	olsa: list: 25 / sentence: 2	-5.2	80.0	olsa/sentences/86800.wav	Doris hat zwoelf grosse Blumen.
92.656	2.142	93	92656	olsa: list: 25 / sentence: 13	-5.2	80.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
95.839	2.155	67	95839	olsa: list: 21 / sentence: 7	-6.8	60.0	olsa/sentences/23448.wav	Tanja gibt vier schwere Steine.
99.091	2.411	28	99091	olsa: list: 10 / sentence: 8	-8.2	40.0	olsa/sentences/87470.wav	Doris gewann vier schoene Blumen.
102.553	2.118	13	102553	olsa: list: 5 / sentence: 13	-9.8	20.0	olsa/sentences/89135.wav	Doris malt neun nasse Sessel.
