onset	duration	value	sample	trial_type	stim_file
6.462	0	2	6462	up-chirp	transient/upchirp_stim.wav
7.577	0	2	7577	up-chirp	transient/upchirp_stim.wav
8.808	0	2	8808	up-chirp	transient/upchirp_stim.wav
10.016	0	2	10016	up-chirp	transient/upchirp_stim.wav
11.224	0	2	11224	up-chirp	transient/upchirp_stim.wav
12.456	0	2	12456	up-chirp	transient/upchirp_stim.wav
13.664	0	2	13664	up-chirp	transient/upchirp_stim.wav
14.872	0	2	14872	up-chirp	transient/upchirp_stim.wav
15.987	0	2	15987	up-chirp	transient/upchirp_stim.wav
17.125	0	2	17125	up-chirp	transient/upchirp_stim.wav
18.287	0	2	18287	up-chirp	transient/upchirp_stim.wav
19.564	0	2	19564	up-chirp	transient/upchirp_stim.wav
20.842	0	2	20842	up-chirp	transient/upchirp_stim.wav
22.12	0	2	22120	up-chirp	transient/upchirp_stim.wav
23.421	0	2	23421	up-chirp	transient/upchirp_stim.wav
24.606	0	2	24606	up-chirp	transient/upchirp_stim.wav
25.721	0	2	25721	up-chirp	transient/upchirp_stim.wav
26.975	0	2	26975	up-chirp	transient/upchirp_stim.wav
28.206	0	2	28206	up-chirp	transient/upchirp_stim.wav
29.438	0	2	29438	up-chirp	transient/upchirp_stim.wav
30.576	0	2	30576	up-chirp	transient/upchirp_stim.wav
31.714	0	2	31714	up-chirp	transient/upchirp_stim.wav
33.015	0	2	33015	up-chirp	transient/upchirp_stim.wav
34.223	0	2	34223	up-chirp	transient/upchirp_stim.wav
35.408	0	2	35408	up-chirp	transient/upchirp_stim.wav
36.546	0	2	36546	up-chirp	transient/upchirp_stim.wav
37.685	0	2	37685	up-chirp	transient/upchirp_stim.wav
38.823	0	2	38823	up-chirp	transient/upchirp_stim.wav
40.008	0	2	40008	up-chirp	transient/upchirp_stim.wav
41.216	0	2	41216	up-chirp	transient/upchirp_stim.wav
42.354	0	2	42354	up-chirp	transient/upchirp_stim.wav
43.609	0	2	43609	up-chirp	transient/upchirp_stim.wav
44.91	0	2	44910	up-chirp	transient/upchirp_stim.wav
46.164	0	2	46164	up-chirp	transient/upchirp_stim.wav
47.349	0	2	47349	up-chirp	transient/upchirp_stim.wav
48.627	0	2	48627	up-chirp	transient/upchirp_stim.wav
49.881	0	2	49881	up-chirp	transient/upchirp_stim.wav
51.043	0	2	51043	up-chirp	transient/upchirp_stim.wav
52.32	0	2	52320	up-chirp	transient/upchirp_stim.wav
53.505	0	2	53505	up-chirp	transient/upchirp_stim.wav
54.783	0	2	54783	up-chirp	transient/upchirp_stim.wav
55.898	0	2	55898	up-chirp	transient/upchirp_stim.wav
57.129	0	2	57129	up-chirp	transient/upchirp_stim.wav
58.407	0	2	58407	up-chirp	transient/upchirp_stim.wav
59.638	0	2	59638	up-chirp	transient/upchirp_stim.wav
60.753	0	2	60753	up-chirp	transient/upchirp_stim.wav
61.938	0	2	61938	up-chirp	transient/upchirp_stim.wav
63.169	0	2	63169	up-chirp	transient/upchirp_stim.wav
64.401	0	2	64401	up-chirp	transient/upchirp_stim.wav
65.586	0	2	65586	up-chirp	transient/upchirp_stim.wav
