onset	duration	value	sample	trial_type	SNR	intelligibility	stim_file	sentence
11.574	2.385	105	11574	olsa: list: 30 / sentence: 5	-3.3	95.0	olsa/sentences/51779.wav	Wolfgang sieht achtzehn schoene Ringe.
15.012	2.081	108	15012	olsa: list: 30 / sentence: 8	-3.3	95.0	olsa/sentences/94067.wav	Nina schenkt drei teure Schuhe.
18.148	2.192	62	18148	olsa: list: 21 / sentence: 2	-7.5	60.0	olsa/sentences/90013.wav	Nina bekommt drei kleine Bilder.
21.377	2.268	110	21377	olsa: list: 30 / sentence: 10	-3.3	95.0	olsa/sentences/18502.wav	Kerstin nahm fuenf grosse Autos.
24.792	2.145	95	24792	olsa: list: 25 / sentence: 15	-5.9	80.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
27.952	2.145	75	27952	olsa: list: 21 / sentence: 15	-7.5	60.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
31.251	2.052	16	31251	olsa: list: 5 / sentence: 16	-10.5	20.0	olsa/sentences/00456.wav	Peter bekommt vier gruene Messer.
34.34	2.196	59	34340	olsa: list: 14 / sentence: 19	-8.2	50.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
37.546	2.085	23	37546	olsa: list: 10 / sentence: 3	-8.9	40.0	olsa/sentences/22336.wav	Tanja kauft acht nasse Messer.
40.683	2.549	32	40683	olsa: list: 10 / sentence: 12	-8.9	40.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
44.446	2.002	54	44446	olsa: list: 14 / sentence: 14	-8.2	50.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
47.582	2.142	93	47582	olsa: list: 25 / sentence: 13	-5.9	80.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
50.811	2.031	17	50811	olsa: list: 5 / sentence: 17	-10.5	20.0	olsa/sentences/47048.wav	Britta gewann drei schwere Steine.
54.017	2.549	2	54017	olsa: list: 5 / sentence: 2	-10.5	20.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
57.734	2.142	73	57734	olsa: list: 21 / sentence: 13	-7.5	60.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
60.987	2.438	106	60987	olsa: list: 30 / sentence: 6	-3.3	95.0	olsa/sentences/72141.wav	Thomas kauft neun schwere Tassen.
64.541	1.941	91	64541	olsa: list: 25 / sentence: 11	-5.9	80.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
67.561	2.091	24	67561	olsa: list: 10 / sentence: 4	-8.9	40.0	olsa/sentences/93692.wav	Nina gibt zwei weisse Autos.
