onset	duration	value	sample	trial_type	SNR	intelligibility	stim_file	sentence
10.008	2.287	101	10008	olsa: list: 30 / sentence: 1	-2.1	95.0	olsa/sentences/80338.wav	Doris bekommt acht nasse Steine.
13.423	1.938	120	13423	olsa: list: 30 / sentence: 20	-2.1	95.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
16.374	2.196	39	16374	olsa: list: 10 / sentence: 19	-7.7	40.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
19.649	2.137	81	19649	olsa: list: 25 / sentence: 1	-4.7	80.0	olsa/sentences/23081.wav	Tanja gibt drei rote Tassen.
22.971	2.235	20	22971	olsa: list: 5 / sentence: 20	-9.3	20.0	olsa/sentences/24621.wav	Tanja schenkt zwei alte Tassen.
26.247	1.941	71	26247	olsa: list: 21 / sentence: 11	-6.3	60.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
29.383	2.002	114	29383	olsa: list: 30 / sentence: 14	-2.1	95.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
32.566	2.565	76	32566	olsa: list: 21 / sentence: 16	-6.3	60.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
36.259	2.145	75	36259	olsa: list: 21 / sentence: 15	-6.3	60.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
39.558	2.193	48	39558	olsa: list: 14 / sentence: 8	-7.0	50.0	olsa/sentences/63558.wav	Stefan gibt fuenf gruene Steine.
42.95	2.145	55	42950	olsa: list: 14 / sentence: 15	-7.0	50.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
46.272	2.206	102	46272	olsa: list: 30 / sentence: 2	-2.1	95.0	olsa/sentences/43285.wav	Britta gibt sieben rote Sessel.
49.548	2.002	54	49548	olsa: list: 14 / sentence: 14	-7.0	50.0	olsa/sentences/66553.wav	Stefan hat fuenf gruene Bilder.
52.637	2.26	22	52637	olsa: list: 10 / sentence: 2	-7.7	40.0	olsa/sentences/70287.wav	Thomas bekommt sieben rote Schuhe.
56.052	2.196	79	56052	olsa: list: 21 / sentence: 19	-6.3	60.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
59.444	2.118	13	59444	olsa: list: 5 / sentence: 13	-9.3	20.0	olsa/sentences/89135.wav	Doris malt neun nasse Sessel.
62.604	2.142	53	62604	olsa: list: 14 / sentence: 13	-7.0	50.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
65.81	1.938	100	65810	olsa: list: 25 / sentence: 20	-4.7	80.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
68.923	2.385	105	68923	olsa: list: 30 / sentence: 5	-2.1	95.0	olsa/sentences/51779.wav	Wolfgang sieht achtzehn schoene Ringe.
72.454	2.142	113	72454	olsa: list: 30 / sentence: 13	-2.1	95.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
75.776	2.015	90	75776	olsa: list: 25 / sentence: 10	-4.7	80.0	olsa/sentences/47173.wav	Britta gewann neun schoene Bilder.
78.912	2.155	67	78912	olsa: list: 21 / sentence: 7	-6.3	60.0	olsa/sentences/23448.wav	Tanja gibt vier schwere Steine.
82.188	2.142	73	82188	olsa: list: 21 / sentence: 13	-6.3	60.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
85.393	2.192	62	85393	olsa: list: 21 / sentence: 2	-6.3	60.0	olsa/sentences/90013.wav	Nina bekommt drei kleine Bilder.
88.762	1.97	65	88762	olsa: list: 21 / sentence: 5	-6.3	60.0	olsa/sentences/76600.wav	Thomas hat zwei grosse Blumen.
91.898	2.549	52	91898	olsa: list: 14 / sentence: 12	-7.0	50.0	olsa/sentences/15149.wav	Kerstin verleiht neun schwere Ringe.
95.569	2.114	86	95569	olsa: list: 25 / sentence: 6	-4.7	80.0	olsa/sentences/34994.wav	Ulrich schenkt elf weisse Dosen.
98.705	2.32	66	98705	olsa: list: 21 / sentence: 6	-6.3	60.0	olsa/sentences/51195.wav	Wolfgang sieht neun weisse Sessel.
102.166	2.05	58	102166	olsa: list: 14 / sentence: 18	-7.0	50.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
105.349	2.081	108	105349	olsa: list: 30 / sentence: 8	-2.1	95.0	olsa/sentences/94067.wav	Nina schenkt drei teure Schuhe.
108.485	2.565	36	108485	olsa: list: 10 / sentence: 16	-7.7	40.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
112.226	2.193	84	112226	olsa: list: 25 / sentence: 4	-4.7	80.0	olsa/sentences/51437.wav	Wolfgang sieht vier nasse Schuhe.
115.478	2.305	64	115478	olsa: list: 21 / sentence: 4	-6.3	60.0	olsa/sentences/02737.wav	Peter kauft achtzehn nasse Schuhe.
118.8	2.145	95	118800	olsa: list: 25 / sentence: 15	-4.7	80.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
122.052	2.532	41	122052	olsa: list: 14 / sentence: 1	-7.0	50.0	olsa/sentences/95162.wav	Nina verleiht neun teure Autos.
125.7	2.097	77	125700	olsa: list: 21 / sentence: 17	-6.3	60.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
128.836	1.941	31	128836	olsa: list: 10 / sentence: 11	-7.7	40.0	olsa/sentences/31601.wav	Ulrich sieht zwei grosse Tassen.
131.926	2.145	35	131926	olsa: list: 10 / sentence: 15	-7.7	40.0	olsa/sentences/77974.wav	Thomas gewann elf schoene Dosen.
135.178	2.392	12	135178	olsa: list: 5 / sentence: 12	-9.3	20.0	olsa/sentences/52277.wav	Wolfgang kauft sieben schoene Schuhe.
138.779	2.05	118	138779	olsa: list: 30 / sentence: 18	-2.1	95.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
141.869	2.22	45	141869	olsa: list: 14 / sentence: 5	-7.0	50.0	olsa/sentences/82009.wav	Doris kauft drei grosse Ringe.
145.237	2.522	42	145237	olsa: list: 14 / sentence: 2	-7.0	50.0	olsa/sentences/29744.wav	Tanja malt achtzehn schwere Dosen.
148.931	2.766	83	148931	olsa: list: 25 / sentence: 3	-4.7	80.0	olsa/sentences/70762.wav	Thomas bekommt achtzehn teure Autos.
152.764	2.091	24	152764	olsa: list: 10 / sentence: 4	-7.7	40.0	olsa/sentences/93692.wav	Nina gibt zwei weisse Autos.
155.9	2.131	21	155900	olsa: list: 10 / sentence: 1	-7.7	40.0	olsa/sentences/69009.wav	Stefan malt drei grosse Ringe.
159.083	2.196	9	159083	olsa: list: 5 / sentence: 9	-9.3	20.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
162.312	2.427	85	162312	olsa: list: 25 / sentence: 5	-4.7	80.0	olsa/sentences/65555.wav	Stefan verleiht fuenf gruene Sessel.
165.89	2.268	110	165890	olsa: list: 30 / sentence: 10	-2.1	95.0	olsa/sentences/18502.wav	Kerstin nahm fuenf grosse Autos.
169.165	2.05	78	169165	olsa: list: 21 / sentence: 18	-6.3	60.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
172.371	2.097	97	172371	olsa: list: 25 / sentence: 17	-4.7	80.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
175.693	2.196	119	175693	olsa: list: 30 / sentence: 19	-2.1	95.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
179.085	2.097	117	179085	olsa: list: 30 / sentence: 17	-2.1	95.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
182.361	1.846	63	182361	olsa: list: 21 / sentence: 3	-6.3	60.0	olsa/sentences/44529.wav	Britta schenkt fuenf alte Ringe.
185.357	2.217	109	185357	olsa: list: 30 / sentence: 9	-2.1	95.0	olsa/sentences/05413.wav	Peter verleiht vier kleine Bilder.
188.726	1.946	18	188726	olsa: list: 5 / sentence: 18	-9.3	20.0	olsa/sentences/76802.wav	Thomas hat zwoelf grosse Autos.
191.816	2.29	87	191816	olsa: list: 25 / sentence: 7	-4.7	80.0	olsa/sentences/18348.wav	Kerstin nahm acht schwere Steine.
195.277	2.441	26	195277	olsa: list: 10 / sentence: 6	-7.7	40.0	olsa/sentences/11755.wav	Kerstin sieht achtzehn gruene Sessel.
198.924	2.565	6	198924	olsa: list: 5 / sentence: 6	-9.3	20.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
202.549	2.396	104	202549	olsa: list: 30 / sentence: 4	-2.1	95.0	olsa/sentences/67850.wav	Stefan gewann zwoelf gruene Blumen.
206.033	2.05	98	206033	olsa: list: 25 / sentence: 18	-4.7	80.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
209.1	2.142	93	209100	olsa: list: 25 / sentence: 13	-4.7	80.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
212.329	2.196	59	212329	olsa: list: 14 / sentence: 19	-7.0	50.0	olsa/sentences/24318.wav	Tanja schenkt acht kleine Steine.
215.651	1.938	10	215651	olsa: list: 5 / sentence: 10	-9.3	20.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
218.787	2.142	3	218787	olsa: list: 5 / sentence: 3	-9.3	20.0	olsa/sentences/82487.wav	Doris kauft vier rote Schuhe.
222.109	1.938	40	222109	olsa: list: 10 / sentence: 20	-7.7	40.0	olsa/sentences/48835.wav	Britta nahm zwoelf nasse Sessel.
225.222	1.883	49	225222	olsa: list: 14 / sentence: 9	-7.0	50.0	olsa/sentences/34226.wav	Ulrich schenkt sieben alte Messer.
228.149	2.097	57	228149	olsa: list: 14 / sentence: 17	-7.0	50.0	olsa/sentences/03262.wav	Peter gibt sieben teure Autos.
231.286	2.565	56	231286	olsa: list: 14 / sentence: 16	-7.0	50.0	olsa/sentences/90790.wav	Nina bekommt achtzehn weisse Blumen.
235.003	2.039	43	235003	olsa: list: 14 / sentence: 3	-7.0	50.0	olsa/sentences/07970.wav	Peter gewann elf schoene Blumen.
238.208	2.105	88	238208	olsa: list: 25 / sentence: 8	-4.7	80.0	olsa/sentences/92629.wav	Nina kauft zwei alte Ringe.
241.484	2.05	8	241484	olsa: list: 5 / sentence: 8	-9.3	20.0	olsa/sentences/59026.wav	Wolfgang malt drei alte Messer.
