onset	duration	value	sample	trial_type	stim_file
6.099	0	2	6099	up-chirp	transient/upchirp_stim.wav
7.4	0	2	7400	up-chirp	transient/upchirp_stim.wav
8.631	0	2	8631	up-chirp	transient/upchirp_stim.wav
9.932	0	2	9932	up-chirp	transient/upchirp_stim.wav
11.233	0	2	11233	up-chirp	transient/upchirp_stim.wav
12.441	0	2	12441	up-chirp	transient/upchirp_stim.wav
13.626	0	2	13626	up-chirp	transient/upchirp_stim.wav
14.927	0	2	14927	up-chirp	transient/upchirp_stim.wav
16.135	0	2	16135	up-chirp	transient/upchirp_stim.wav
17.389	0	2	17389	up-chirp	transient/upchirp_stim.wav
18.574	0	2	18574	up-chirp	transient/upchirp_stim.wav
19.736	0	2	19736	up-chirp	transient/upchirp_stim.wav
20.99	0	2	20990	up-chirp	transient/upchirp_stim.wav
22.152	0	2	22152	up-chirp	transient/upchirp_stim.wav
23.476	0	2	23476	up-chirp	transient/upchirp_stim.wav
24.777	0	2	24777	up-chirp	transient/upchirp_stim.wav
25.938	0	2	25938	up-chirp	transient/upchirp_stim.wav
27.193	0	2	27193	up-chirp	transient/upchirp_stim.wav
28.424	0	2	28424	up-chirp	transient/upchirp_stim.wav
29.679	0	2	29679	up-chirp	transient/upchirp_stim.wav
30.863	0	2	30863	up-chirp	transient/upchirp_stim.wav
32.025	0	2	32025	up-chirp	transient/upchirp_stim.wav
33.326	0	2	33326	up-chirp	transient/upchirp_stim.wav
34.65	0	2	34650	up-chirp	transient/upchirp_stim.wav
35.928	0	2	35928	up-chirp	transient/upchirp_stim.wav
37.136	0	2	37136	up-chirp	transient/upchirp_stim.wav
38.414	0	2	38414	up-chirp	transient/upchirp_stim.wav
39.645	0	2	39645	up-chirp	transient/upchirp_stim.wav
40.899	0	2	40899	up-chirp	transient/upchirp_stim.wav
42.131	0	2	42131	up-chirp	transient/upchirp_stim.wav
43.362	0	2	43362	up-chirp	transient/upchirp_stim.wav
44.523	0	2	44523	up-chirp	transient/upchirp_stim.wav
45.685	0	2	45685	up-chirp	transient/upchirp_stim.wav
46.823	0	2	46823	up-chirp	transient/upchirp_stim.wav
48.101	0	2	48101	up-chirp	transient/upchirp_stim.wav
49.402	0	2	49402	up-chirp	transient/upchirp_stim.wav
50.587	0	2	50587	up-chirp	transient/upchirp_stim.wav
51.748	0	2	51748	up-chirp	transient/upchirp_stim.wav
52.956	0	2	52956	up-chirp	transient/upchirp_stim.wav
54.234	0	2	54234	up-chirp	transient/upchirp_stim.wav
55.442	0	2	55442	up-chirp	transient/upchirp_stim.wav
56.58	0	2	56580	up-chirp	transient/upchirp_stim.wav
57.719	0	2	57719	up-chirp	transient/upchirp_stim.wav
58.95	0	2	58950	up-chirp	transient/upchirp_stim.wav
60.204	0	2	60204	up-chirp	transient/upchirp_stim.wav
61.413	0	2	61413	up-chirp	transient/upchirp_stim.wav
62.551	0	2	62551	up-chirp	transient/upchirp_stim.wav
63.782	0	2	63782	up-chirp	transient/upchirp_stim.wav
65.037	0	2	65037	up-chirp	transient/upchirp_stim.wav
66.314	0	2	66314	up-chirp	transient/upchirp_stim.wav
67.499	0	2	67499	up-chirp	transient/upchirp_stim.wav
68.614	0	2	68614	up-chirp	transient/upchirp_stim.wav
69.915	0	2	69915	up-chirp	transient/upchirp_stim.wav
71.1	0	2	71100	up-chirp	transient/upchirp_stim.wav
72.331	0	2	72331	up-chirp	transient/upchirp_stim.wav
73.632	0	2	73632	up-chirp	transient/upchirp_stim.wav
74.817	0	2	74817	up-chirp	transient/upchirp_stim.wav
76.118	0	2	76118	up-chirp	transient/upchirp_stim.wav
77.349	0	2	77349	up-chirp	transient/upchirp_stim.wav
78.627	0	2	78627	up-chirp	transient/upchirp_stim.wav
85.83	1	1	85830	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
86.831	1	1	86831	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
87.831	1	1	87831	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
88.832	1	1	88832	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
89.832	1	1	89832	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
90.833	1	1	90833	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
91.833	1	1	91833	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
92.834	1	1	92834	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
93.834	1	1	93834	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
94.835	1	1	94835	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
95.835	1	1	95835	audiobook 1s	audiobooks/task-audiobook2_run-02_stim.wav
